timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1705968088161,168,GetTrack,101,Switching Protocols,Locations 1-1,text,true,,14403,35,2,2,null,0,0,49
1705968088261,170,GetTrack,101,Switching Protocols,Locations 1-2,text,true,,14403,35,2,2,null,0,0,91
1705968088370,175,GetTrack,101,Switching Protocols,Locations 1-3,text,true,,14403,35,2,2,null,0,0,64
1705968088459,174,GetTrack,101,Switching Protocols,Locations 1-4,text,true,,14403,35,2,2,null,0,0,88
1705968088568,172,GetTrack,101,Switching Protocols,Locations 1-5,text,true,,14403,35,2,2,null,0,0,69
1705968088667,159,GetTrack,101,Switching Protocols,Locations 1-6,text,true,,14403,35,2,2,null,0,0,76
1705968088765,151,GetTrack,101,Switching Protocols,Locations 1-7,text,true,,14403,35,2,2,null,0,0,63
1705968088858,159,GetTrack,101,Switching Protocols,Locations 1-8,text,true,,14403,35,2,2,null,0,0,60
1705968088954,146,GetTrack,101,Switching Protocols,Locations 1-9,text,true,,14403,35,2,2,null,0,0,66
1705968089050,130,GetTrack,101,Switching Protocols,Locations 1-10,text,true,,14403,35,2,2,null,0,0,52
1705968089148,120,GetTrack,101,Switching Protocols,Locations 1-11,text,true,,14403,35,2,2,null,0,0,36
1705968089247,111,GetTrack,101,Switching Protocols,Locations 1-12,text,true,,14403,35,2,2,null,0,0,25
1705968089346,105,GetTrack,101,Switching Protocols,Locations 1-13,text,true,,14403,35,2,2,null,0,0,17
1705968089444,97,GetTrack,101,Switching Protocols,Locations 1-14,text,true,,14403,35,2,2,null,0,0,11
1705968089535,92,GetTrack,101,Switching Protocols,Locations 1-15,text,true,,14403,35,1,1,null,0,0,9
1705968089633,93,GetTrack,101,Switching Protocols,Locations 1-16,text,true,,14403,35,1,1,null,0,0,5
1705968089732,86,GetTrack,101,Switching Protocols,Locations 1-17,text,true,,14403,35,1,1,null,0,0,5
1705968089826,77,GetTrack,101,Switching Protocols,Locations 1-18,text,true,,14403,35,1,1,null,0,0,5
1705968089926,76,GetTrack,101,Switching Protocols,Locations 1-19,text,true,,14403,35,1,1,null,0,0,5
1705968090024,90,GetTrack,101,Switching Protocols,Locations 1-20,text,true,,14403,35,1,1,null,0,0,5
1705968090122,93,GetTrack,101,Switching Protocols,Locations 1-21,text,true,,14403,35,1,1,null,0,0,6
1705968090232,84,GetTrack,101,Switching Protocols,Locations 1-22,text,true,,14403,35,1,1,null,0,0,5
1705968090337,81,GetTrack,101,Switching Protocols,Locations 1-23,text,true,,14403,35,1,1,null,0,0,5
1705968090450,86,GetTrack,101,Switching Protocols,Locations 1-24,text,true,,14403,35,1,1,null,0,0,5
