timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1705970758979,4031,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-3,,false,,0,0,43,43,null,0,0,0
1705970758890,4131,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-2,,false,,0,0,43,43,null,0,0,0
1705970759077,4926,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-4,,false,,0,0,51,51,null,0,0,0
1705970759268,4737,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-6,,false,,0,0,50,50,null,0,0,0
1705970759169,4836,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-5,,false,,0,0,50,50,null,0,0,0
1705970759562,4445,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-9,,false,,0,0,49,49,null,0,0,0
1705970759758,4249,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-11,,false,,0,0,49,49,null,0,0,0
1705970759858,4151,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-12,,false,,0,0,47,47,null,0,0,0
1705970759367,4643,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-7,,false,,0,0,46,46,null,0,0,0
1705970759661,4357,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-10,,false,,0,0,44,44,null,0,0,0
1705970759957,4057,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-13,,false,,0,0,44,44,null,0,0,0
1705970759466,4544,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-8,,false,,0,0,44,44,null,0,0,0
1705970758792,6045,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Read timed out,Locations 1-1,,false,,145,143,49,49,null,0,0,33
1705970760065,4938,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-14,,false,,0,0,50,50,null,0,0,0
1705970760192,4812,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-15,,false,,0,0,50,50,null,0,0,0
1705970760292,4714,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-16,,false,,0,0,49,49,null,0,0,0
1705970760390,4616,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-17,,false,,0,0,48,48,null,0,0,0
1705970760585,4422,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-19,,false,,0,0,47,47,null,0,0,0
1705970760679,4329,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-20,,false,,0,0,46,46,null,0,0,0
1705970760969,4039,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-23,,false,,0,0,45,45,null,0,0,0
1705970760487,4524,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-18,,false,,0,0,44,44,null,0,0,0
1705970760871,4146,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-22,,false,,0,0,42,42,null,0,0,0
1705970760773,4237,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-21,,false,,0,0,44,44,null,0,0,0
1705970761067,4936,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-24,,false,,0,0,50,50,null,0,0,0
1705970761165,4839,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-25,,false,,0,0,49,49,null,0,0,0
1705970761261,4743,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-26,,false,,0,0,49,49,null,0,0,0
1705970761358,4650,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-27,,false,,0,0,47,47,null,0,0,0
1705970761457,4552,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-28,,false,,0,0,46,46,null,0,0,0
1705970761555,4456,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-29,,false,,0,0,45,45,null,0,0,0
1705970761655,4356,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-30,,false,,0,0,45,45,null,0,0,0
1705970761757,4255,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-31,,false,,0,0,43,43,null,0,0,0
1705970761855,4158,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-32,,false,,0,0,42,42,null,0,0,0
1705970761956,4058,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-33,,false,,0,0,42,42,null,0,0,0
1705970762056,4962,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-34,,false,,0,0,50,50,null,0,0,0
1705970762156,4862,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-35,,false,,0,0,50,50,null,0,0,0
1705970762257,4762,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-36,,false,,0,0,49,49,null,0,0,0
1705970762353,4668,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-37,,false,,0,0,47,47,null,0,0,0
1705970762453,4569,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-38,,false,,0,0,47,47,null,0,0,0
1705970762554,4470,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-39,,false,,0,0,45,45,null,0,0,0
1705970762854,4171,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-42,,false,,0,0,44,44,null,0,0,0
1705970762953,4074,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-43,,false,,0,0,43,43,null,0,0,0
1705970762654,4373,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-40,,false,,0,0,43,43,null,0,0,0
1705970762754,4275,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-41,,false,,0,0,41,41,null,0,0,0
1705970763154,4850,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-45,,false,,0,0,50,50,null,0,0,0
1705970763054,4952,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-44,,false,,0,0,49,49,null,0,0,0
1705970763255,4767,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-46,,false,,0,0,48,48,null,0,0,0
1705970763355,4670,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-47,,false,,0,0,47,47,null,0,0,0
1705970763464,4561,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-48,,false,,0,0,47,47,null,0,0,0
1705970763553,4473,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-49,,false,,0,0,45,45,null,0,0,0
1705970763655,4372,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-50,,false,,0,0,45,45,null,0,0,0
1705970763858,4171,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-52,,false,,0,0,43,43,null,0,0,0
1705970763754,4274,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-51,,false,,0,0,43,43,null,0,0,0
1705970763953,4077,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-53,,false,,0,0,41,41,null,0,0,0
1705970764253,4752,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-56,,false,,0,0,47,47,null,0,0,0
1705970764655,4354,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-60,,false,,0,0,46,46,null,0,0,0
1705970764754,4256,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-61,,false,,0,0,46,46,null,0,0,0
1705970764855,4157,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-62,,false,,0,0,44,44,null,0,0,0
1705970764355,4662,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-57,,false,,0,0,43,43,null,0,0,0
1705970764053,4965,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-54,,false,,0,0,43,43,null,0,0,0
1705970764453,4566,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-58,,false,,0,0,42,42,null,0,0,0
1705970764954,4066,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-63,,false,,0,0,41,41,null,0,0,0
1705970764555,4458,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-59,,false,,0,0,41,41,null,0,0,0
1705970764152,4857,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-55,,false,,0,0,41,41,null,0,0,0
1705970765253,4763,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-66,,false,,0,0,37,37,null,0,0,0
1705970765153,4863,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-65,,false,,0,0,37,37,null,0,0,0
1705970765353,4664,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-67,,false,,0,0,36,36,null,0,0,0
1705970765452,4566,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-68,,false,,0,0,35,35,null,0,0,0
1705970765554,4464,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-69,,false,,0,0,35,35,null,0,0,0
1705970765653,4365,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-70,,false,,0,0,34,34,null,0,0,0
1705970765854,4165,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-72,,false,,0,0,34,34,null,0,0,0
1705970765753,4266,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-71,,false,,0,0,33,33,null,0,0,0
1705970765954,4066,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-73,,false,,0,0,29,29,null,0,0,0
1705970765053,4960,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-64,,false,,0,0,37,37,null,0,0,0
1705970766554,4454,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-79,,false,,0,0,27,27,null,0,0,0
1705970766853,4156,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-82,,false,,0,0,26,26,null,0,0,0
1705970766152,4860,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-75,,false,,0,0,25,25,null,0,0,0
1705970766254,4759,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-76,,false,,0,0,24,24,null,0,0,0
1705970766353,4660,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-77,,false,,0,0,23,23,null,0,0,0
1705970766054,4960,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-74,,false,,0,0,22,22,null,0,0,0
1705970766452,4563,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-78,,false,,0,0,22,22,null,0,0,0
1705970766654,4362,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-80,,false,,0,0,21,21,null,0,0,0
1705970766953,4063,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-83,,false,,0,0,21,21,null,0,0,0
1705970766754,4258,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-81,,false,,0,0,24,24,null,0,0,0
1705970767052,4950,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-84,,false,,0,0,17,17,null,0,0,0
1705970767156,4847,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-85,,false,,0,0,17,17,null,0,0,0
1705970767353,4650,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-87,,false,,0,0,16,16,null,0,0,0
1705970767454,4550,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-88,,false,,0,0,14,14,null,0,0,0
1705970767653,4351,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-90,,false,,0,0,13,13,null,0,0,0
1705970767753,4252,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-91,,false,,0,0,12,12,null,0,0,0
1705970767955,4050,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-93,,false,,0,0,11,11,null,0,0,0
1705970767555,4450,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-89,,false,,0,0,10,10,null,0,0,0
1705970767854,4153,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-92,,false,,0,0,9,9,null,0,0,0
1705970767254,4753,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-86,,false,,0,0,8,8,null,0,0,0
1705970768055,4948,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-94,,false,,0,0,7,7,null,0,0,0
1705970768153,4851,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-95,,false,,0,0,7,7,null,0,0,0
1705970768254,4750,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-96,,false,,0,0,7,7,null,0,0,0
1705970768354,4650,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-97,,false,,0,0,7,7,null,0,0,0
1705970768656,4353,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-100,,false,,0,0,3,3,null,0,0,0
1705970768557,4455,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-99,,false,,0,0,2,2,null,0,0,0
1705970768453,4558,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-98,,false,,0,0,2,2,null,0,0,0
