timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1705968580120,138,AddLocation,101,Switching Protocols,Locations 1-1,text,true,,264,121,2,2,null,0,0,34
1705968580202,163,AddLocation,101,Switching Protocols,Locations 1-2,text,true,,264,121,2,2,null,0,0,65
1705968580277,182,AddLocation,101,Switching Protocols,Locations 1-3,text,true,,264,121,2,2,null,0,0,90
1705968580395,186,AddLocation,101,Switching Protocols,Locations 1-4,text,true,,264,121,2,2,null,0,0,66
1705968580494,181,AddLocation,101,Switching Protocols,Locations 1-5,text,true,,264,121,2,2,null,0,0,89
1705968580591,178,AddLocation,101,Switching Protocols,Locations 1-6,text,true,,264,121,2,2,null,0,0,85
1705968580688,189,AddLocation,101,Switching Protocols,Locations 1-7,text,true,,264,121,2,2,null,0,0,82
1705968580787,189,AddLocation,101,Switching Protocols,Locations 1-8,text,true,,264,121,2,2,null,0,0,92
1705968580886,184,AddLocation,101,Switching Protocols,Locations 1-9,text,true,,264,121,2,2,null,0,0,91
1705968580986,197,AddLocation,101,Switching Protocols,Locations 1-10,text,true,,264,121,2,2,null,0,0,86
1705968581085,214,AddLocation,101,Switching Protocols,Locations 1-11,text,true,,264,121,3,3,null,0,0,100
1705968581186,207,AddLocation,101,Switching Protocols,Locations 1-12,text,true,,264,121,3,3,null,0,0,115
1705968581284,205,AddLocation,101,Switching Protocols,Locations 1-13,text,true,,264,121,3,3,null,0,0,111
1705968581384,259,AddLocation,101,Switching Protocols,Locations 1-14,text,true,,264,121,3,3,null,0,0,107
1705968581481,321,AddLocation,101,Switching Protocols,Locations 1-15,text,true,,264,121,4,4,null,0,0,164
1705968581582,254,AddLocation,101,Switching Protocols,Locations 1-16,text,true,,264,121,3,3,null,0,0,129
1705968581680,257,AddLocation,101,Switching Protocols,Locations 1-17,text,true,,264,121,3,3,null,0,0,159
1705968581781,308,AddLocation,101,Switching Protocols,Locations 1-18,text,true,,264,121,4,4,null,0,0,158
1705968581880,243,AddLocation,101,Switching Protocols,Locations 1-19,text,true,,264,121,3,3,null,0,0,116
1705968581979,241,AddLocation,101,Switching Protocols,Locations 1-20,text,true,,264,121,3,3,null,0,0,146
1705968582079,281,AddLocation,101,Switching Protocols,Locations 1-21,text,true,,264,121,3,3,null,0,0,142
1705968582179,213,AddLocation,101,Switching Protocols,Locations 1-22,text,true,,264,121,3,3,null,0,0,97
1705968582278,264,AddLocation,101,Switching Protocols,Locations 1-23,text,true,,264,121,3,3,null,0,0,116
1705968582378,194,AddLocation,101,Switching Protocols,Locations 1-24,text,true,,264,121,2,2,null,0,0,72
1705968582478,188,AddLocation,101,Switching Protocols,Locations 1-25,text,true,,264,121,2,2,null,0,0,96
1705968582577,186,AddLocation,101,Switching Protocols,Locations 1-26,text,true,,264,121,2,2,null,0,0,91
1705968582677,182,AddLocation,101,Switching Protocols,Locations 1-27,text,true,,264,121,2,2,null,0,0,88
1705968582776,174,AddLocation,101,Switching Protocols,Locations 1-28,text,true,,264,121,2,2,null,0,0,84
1705968582876,185,AddLocation,101,Switching Protocols,Locations 1-29,text,true,,264,121,2,2,null,0,0,77
1705968582975,181,AddLocation,101,Switching Protocols,Locations 1-30,text,true,,264,121,2,2,null,0,0,88
1705968583075,178,AddLocation,101,Switching Protocols,Locations 1-31,text,true,,264,121,2,2,null,0,0,83
1705968583176,174,AddLocation,101,Switching Protocols,Locations 1-32,text,true,,264,121,2,2,null,0,0,79
1705968583274,173,AddLocation,101,Switching Protocols,Locations 1-33,text,true,,264,121,2,2,null,0,0,78
1705968583374,168,AddLocation,101,Switching Protocols,Locations 1-34,text,true,,264,121,2,2,null,0,0,74
1705968583473,171,AddLocation,101,Switching Protocols,Locations 1-35,text,true,,264,121,2,2,null,0,0,71
1705968583573,167,AddLocation,101,Switching Protocols,Locations 1-36,text,true,,264,121,2,2,null,0,0,73
1705968583672,164,AddLocation,101,Switching Protocols,Locations 1-37,text,true,,264,121,2,2,null,0,0,70
1705968583771,163,AddLocation,101,Switching Protocols,Locations 1-38,text,true,,264,121,2,2,null,0,0,67
1705968583867,181,AddLocation,101,Switching Protocols,Locations 1-39,text,true,,264,121,2,2,null,0,0,69
1705968583967,181,AddLocation,101,Switching Protocols,Locations 1-40,text,true,,264,121,2,2,null,0,0,82
1705968584068,176,AddLocation,101,Switching Protocols,Locations 1-41,text,true,,264,121,2,2,null,0,0,82
1705968584167,167,AddLocation,101,Switching Protocols,Locations 1-42,text,true,,264,121,2,2,null,0,0,78
1705968584267,165,AddLocation,101,Switching Protocols,Locations 1-43,text,true,,264,121,2,2,null,0,0,69
1705968584366,161,AddLocation,101,Switching Protocols,Locations 1-44,text,true,,264,121,2,2,null,0,0,67
