timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1705968547462,266,GetTrack,101,Switching Protocols,Locations 1-1,text,true,,143696,35,4,4,null,0,0,36
1705968547525,476,GetTrack,101,Switching Protocols,Locations 1-2,text,true,,143696,35,5,5,null,0,0,209
1705968547627,604,GetTrack,101,Switching Protocols,Locations 1-3,text,true,,143696,35,7,7,null,0,0,389
1705968547726,619,GetTrack,101,Switching Protocols,Locations 1-4,text,true,,143696,35,7,7,null,0,0,348
1705968547827,925,GetTrack,101,Switching Protocols,Locations 1-5,text,true,,143696,35,10,10,null,0,0,521
1705968547920,947,GetTrack,101,Switching Protocols,Locations 1-6,text,true,,143696,35,10,10,null,0,0,489
1705968548022,949,GetTrack,101,Switching Protocols,Locations 1-7,text,true,,143696,35,10,10,null,0,0,443
1705968548122,1016,GetTrack,101,Switching Protocols,Locations 1-8,text,true,,143696,35,11,11,null,0,0,404
1705968548221,1071,GetTrack,101,Switching Protocols,Locations 1-9,text,true,,143696,35,11,11,null,0,0,752
1705968548320,1193,GetTrack,101,Switching Protocols,Locations 1-10,text,true,,143696,35,12,12,null,0,0,821
1705968548421,1369,GetTrack,101,Switching Protocols,Locations 1-11,text,true,,143696,35,14,14,null,0,0,872
1705968548520,1371,GetTrack,101,Switching Protocols,Locations 1-12,text,true,,143696,35,14,14,null,0,0,835
1705968548620,1630,GetTrack,101,Switching Protocols,Locations 1-13,text,true,,143696,35,17,17,null,0,0,894
1705968548720,1627,GetTrack,101,Switching Protocols,Locations 1-14,text,true,,143696,35,17,17,null,0,0,854
1705968548820,1641,GetTrack,101,Switching Protocols,Locations 1-15,text,true,,143696,35,17,17,null,0,0,819
1705968548919,1641,GetTrack,101,Switching Protocols,Locations 1-16,text,true,,143696,35,17,17,null,0,0,974
1705968549019,1646,GetTrack,101,Switching Protocols,Locations 1-17,text,true,,143696,35,17,17,null,0,0,926
1705968549119,1718,GetTrack,101,Switching Protocols,Locations 1-18,text,true,,143696,35,18,18,null,0,0,882
1705968549219,1838,GetTrack,101,Switching Protocols,Locations 1-19,text,true,,143696,35,19,19,null,0,0,1447
1705968549319,1998,GetTrack,101,Switching Protocols,Locations 1-20,text,true,,143696,35,20,20,null,0,0,1522
1705968549420,2183,GetTrack,101,Switching Protocols,Locations 1-21,text,true,,143696,35,22,22,null,0,0,1481
1705968549519,2240,GetTrack,101,Switching Protocols,Locations 1-22,text,true,,143696,35,23,23,null,0,0,1539
1705968549618,2456,GetTrack,101,Switching Protocols,Locations 1-23,text,true,,143696,35,25,25,null,0,0,1500
1705968549718,2572,GetTrack,101,Switching Protocols,Locations 1-24,text,true,,143696,35,26,26,null,0,0,1601
