timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1705968196732,967,GetResourcesNearby,101,Switching Protocols,Locations 1-1,text,true,,149,143,10,10,null,0,0,37
1705968196812,1977,GetResourcesNearby,101,Switching Protocols,Locations 1-2,text,true,,149,143,20,20,null,0,0,903
1705968196911,2809,GetResourcesNearby,101,Switching Protocols,Locations 1-3,text,true,,149,143,29,29,null,0,0,804
1705968197014,3705,GetResourcesNearby,101,Switching Protocols,Locations 1-4,text,true,,149,143,38,38,null,0,0,701
1705968197111,4742,GetResourcesNearby,101,Switching Protocols,Locations 1-5,text,true,,149,143,48,48,null,0,0,608
1705968197905,4108,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-13,,false,,0,0,48,48,null,0,0,0
1705968197805,4209,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-12,,false,,0,0,47,47,null,0,0,0
1705968197706,4310,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-11,,false,,0,0,46,46,null,0,0,0
1705968197211,5594,GetResourcesNearby,101,Switching Protocols,Locations 1-6,text,true,,149,143,54,54,null,0,0,511
1705968198017,4985,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-14,,false,,0,0,54,54,null,0,0,0
1705968198106,4897,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-15,,false,,0,0,54,54,null,0,0,0
1705968198204,4807,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-16,,false,,0,0,52,52,null,0,0,0
1705968198306,4707,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-17,,false,,0,0,51,51,null,0,0,0
1705968198509,4507,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-19,,false,,0,0,51,51,null,0,0,0
1705968198604,4413,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-20,,false,,0,0,51,51,null,0,0,0
