timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1705959349220,397,AddLocation,101,Switching Protocols,Locations 1-1,text,true,,282,121,5,5,null,0,0,45
1705959349300,660,AddLocation,101,Switching Protocols,Locations 1-2,text,true,,282,121,7,7,null,0,0,319
1705959349398,818,AddLocation,101,Switching Protocols,Locations 1-3,text,true,,282,121,9,9,null,0,0,267
1705959349494,903,AddLocation,101,Switching Protocols,Locations 1-4,text,true,,282,121,10,10,null,0,0,215
1705959349591,985,AddLocation,101,Switching Protocols,Locations 1-5,text,true,,282,121,10,10,null,0,0,162
1705959349690,1560,AddLocation,101,Switching Protocols,Locations 1-6,text,true,,282,121,16,16,null,0,0,889
1705959349788,1646,AddLocation,101,Switching Protocols,Locations 1-7,text,true,,282,121,17,17,null,0,0,840
1705959349885,1829,AddLocation,101,Switching Protocols,Locations 1-8,text,true,,282,121,19,19,null,0,0,787
1705959349984,1937,AddLocation,101,Switching Protocols,Locations 1-9,text,true,,282,121,20,20,null,0,0,740
1705959350084,1987,AddLocation,101,Switching Protocols,Locations 1-10,text,true,,282,121,20,20,null,0,0,681
1705959350186,2063,AddLocation,101,Switching Protocols,Locations 1-11,text,true,,282,121,21,21,null,0,0,700
1705959350281,2144,AddLocation,101,Switching Protocols,Locations 1-12,text,true,,282,121,22,22,null,0,0,650
1705959350384,2325,AddLocation,101,Switching Protocols,Locations 1-13,text,true,,282,121,24,24,null,0,0,587
1705959350485,2397,AddLocation,101,Switching Protocols,Locations 1-14,text,true,,282,121,25,25,null,0,0,544
1705959350581,2827,AddLocation,101,Switching Protocols,Locations 1-15,text,true,,282,121,29,29,null,0,0,2305
1705959350678,3954,AddLocation,101,Switching Protocols,Locations 1-16,text,true,,282,121,40,40,null,0,0,2255
1705959350779,4022,AddLocation,101,Switching Protocols,Locations 1-17,text,true,,282,121,41,41,null,0,0,2197
1705959350895,4065,AddLocation,101,Switching Protocols,Locations 1-18,text,true,,282,121,41,41,null,0,0,2125
1705959351000,4129,AddLocation,101,Switching Protocols,Locations 1-19,text,true,,282,121,42,42,null,0,0,2066
1705959351091,4467,AddLocation,101,Switching Protocols,Locations 1-20,text,true,,282,121,45,45,null,0,0,2317
1705959351190,4554,AddLocation,101,Switching Protocols,Locations 1-21,text,true,,282,121,46,46,null,0,0,2266
1705959351290,4633,AddLocation,101,Switching Protocols,Locations 1-22,text,true,,282,121,47,47,null,0,0,2207
1705959351388,4728,AddLocation,101,Switching Protocols,Locations 1-23,text,true,,282,121,48,48,null,0,0,2148
1705959351488,4811,AddLocation,101,Switching Protocols,Locations 1-24,text,true,,282,121,49,49,null,0,0,2088
1705959351587,4888,AddLocation,101,Switching Protocols,Locations 1-25,text,true,,282,121,49,49,null,0,0,2031
1705959351687,4975,AddLocation,101,Switching Protocols,Locations 1-26,text,true,,282,121,50,50,null,0,0,1971
1705959352975,4060,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-39,,false,,0,0,53,53,null,0,0,0
1705959351785,5265,AddLocation,101,Switching Protocols,Locations 1-27,text,true,,282,121,52,52,null,0,0,1923
1705959351884,5334,AddLocation,101,Switching Protocols,Locations 1-28,text,true,,282,121,53,53,null,0,0,2007
1705959351984,5405,AddLocation,101,Switching Protocols,Locations 1-29,text,true,,282,121,54,54,null,0,0,1961
1705959352084,5490,AddLocation,101,Switching Protocols,Locations 1-30,text,true,,282,121,54,54,null,0,0,1906
1705959352183,5559,AddLocation,101,Switching Protocols,Locations 1-31,text,true,,282,121,55,55,null,0,0,1851
1705959352282,5614,AddLocation,101,Switching Protocols,Locations 1-32,text,true,,282,121,56,56,null,0,0,1797
1705959353075,4941,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-40,,false,,0,0,56,56,null,0,0,0
1705959353176,4845,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-41,,false,,0,0,55,55,null,0,0,0
1705959353274,4758,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-42,,false,,0,0,54,54,null,0,0,0
1705959353375,4668,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-43,,false,,0,0,53,53,null,0,0,0
1705959353478,4575,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-44,,false,,0,0,52,52,null,0,0,0
1705959353596,4468,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-45,,false,,0,0,51,51,null,0,0,0
1705959353674,4401,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-46,,false,,0,0,51,51,null,0,0,0
1705959353776,4311,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-47,,false,,0,0,50,50,null,0,0,0
1705959353875,4223,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-48,,false,,0,0,49,49,null,0,0,0
1705959353975,4126,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-49,,false,,0,0,48,48,null,0,0,0
1705959352387,5723,AddLocation,101,Switching Protocols,Locations 1-33,text,true,,282,121,47,47,null,0,0,1741
1705959352489,5972,AddLocation,101,Switching Protocols,Locations 1-34,text,true,,282,121,49,49,null,0,0,1680
1705959352584,6066,AddLocation,101,Switching Protocols,Locations 1-35,text,true,,282,121,50,50,null,0,0,1638
1705959352681,6139,AddLocation,101,Switching Protocols,Locations 1-36,text,true,,282,121,51,51,null,0,0,1584
1705959354082,4941,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-50,,false,,0,0,52,52,null,0,0,0
1705959354175,4849,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-51,,false,,0,0,52,52,null,0,0,0
1705959354276,4761,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-52,,false,,0,0,50,50,null,0,0,0
1705959354377,4670,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-53,,false,,0,0,49,49,null,0,0,0
1705959354500,4558,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-54,,false,,0,0,48,48,null,0,0,0
1705959354585,4484,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-55,,false,,0,0,47,47,null,0,0,0
1705959354684,4395,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-56,,false,,0,0,46,46,null,0,0,0
1705959354778,4314,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-57,,false,,0,0,46,46,null,0,0,0
1705959354879,4224,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-58,,false,,0,0,45,45,null,0,0,0
1705959352777,6327,AddLocation,101,Switching Protocols,Locations 1-37,text,true,,282,121,44,44,null,0,0,2355
1705959352876,6323,AddLocation,101,Switching Protocols,Locations 1-38,text,true,,282,121,43,43,null,0,0,2301
1705959354979,5038,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-59,,false,,0,0,42,42,null,0,0,0
1705959355077,4946,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-60,,false,,0,0,41,41,null,0,0,0
1705959355178,4856,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-61,,false,,0,0,40,40,null,0,0,0
1705959355279,4762,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-62,,false,,0,0,39,39,null,0,0,0
1705959355378,4663,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-63,,false,,0,0,38,38,null,0,0,0
1705959355477,4565,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-64,,false,,0,0,37,37,null,0,0,0
1705959355578,4465,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-65,,false,,0,0,36,36,null,0,0,0
