timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1705959002886,92,GetTrack,101,Switching Protocols,Locations 1-1,text,true,,16220,35,2,2,null,0,0,41
1705959002960,92,GetTrack,101,Switching Protocols,Locations 1-2,text,true,,16220,35,1,1,null,0,0,78
1705959003056,35,GetTrack,101,Switching Protocols,Locations 1-3,text,true,,16220,35,1,1,null,0,0,9
1705959003161,27,GetTrack,101,Switching Protocols,Locations 1-4,text,true,,16220,35,1,1,null,0,0,8
1705959003258,26,GetTrack,101,Switching Protocols,Locations 1-5,text,true,,16220,35,1,1,null,0,0,8
1705959003355,18,GetTrack,101,Switching Protocols,Locations 1-6,text,true,,16220,35,1,1,null,0,0,7
1705959003454,28,GetTrack,101,Switching Protocols,Locations 1-7,text,true,,16220,35,1,1,null,0,0,6
1705959003553,26,GetTrack,101,Switching Protocols,Locations 1-8,text,true,,16220,35,1,1,null,0,0,6
1705959003653,27,GetTrack,101,Switching Protocols,Locations 1-9,text,true,,16220,35,1,1,null,0,0,7
1705959003751,32,GetTrack,101,Switching Protocols,Locations 1-10,text,true,,16220,35,1,1,null,0,0,8
1705959003852,24,GetTrack,101,Switching Protocols,Locations 1-11,text,true,,16220,35,1,1,null,0,0,4
1705959003950,24,GetTrack,101,Switching Protocols,Locations 1-12,text,true,,16220,35,1,1,null,0,0,4
1705959004047,26,GetTrack,101,Switching Protocols,Locations 1-13,text,true,,16220,35,1,1,null,0,0,5
1705959004154,17,GetTrack,101,Switching Protocols,Locations 1-14,text,true,,16220,35,1,1,null,0,0,6
1705959004251,19,GetTrack,101,Switching Protocols,Locations 1-15,text,true,,16220,35,1,1,null,0,0,8
1705959004352,13,GetTrack,101,Switching Protocols,Locations 1-16,text,true,,16220,35,1,1,null,0,0,5
1705959004465,26,GetTrack,101,Switching Protocols,Locations 1-17,text,true,,16220,35,1,1,null,0,0,7
1705959004564,30,GetTrack,101,Switching Protocols,Locations 1-18,text,true,,16220,35,1,1,null,0,0,7
1705959004663,29,GetTrack,101,Switching Protocols,Locations 1-19,text,true,,16220,35,1,1,null,0,0,7
1705959004763,18,GetTrack,101,Switching Protocols,Locations 1-20,text,true,,16220,35,1,1,null,0,0,7
1705959004863,27,GetTrack,101,Switching Protocols,Locations 1-21,text,true,,16220,35,1,1,null,0,0,7
1705959004963,15,GetTrack,101,Switching Protocols,Locations 1-22,text,true,,16220,35,1,1,null,0,0,5
1705959005063,28,GetTrack,101,Switching Protocols,Locations 1-23,text,true,,16220,35,1,1,null,0,0,7
1705959005162,25,GetTrack,101,Switching Protocols,Locations 1-24,text,true,,16220,35,1,1,null,0,0,6
1705959005262,18,GetTrack,101,Switching Protocols,Locations 1-25,text,true,,16220,35,1,1,null,0,0,7
1705959005362,31,GetTrack,101,Switching Protocols,Locations 1-26,text,true,,16220,35,1,1,null,0,0,6
1705959005454,31,GetTrack,101,Switching Protocols,Locations 1-27,text,true,,16220,35,1,1,null,0,0,7
1705959005553,29,GetTrack,101,Switching Protocols,Locations 1-28,text,true,,16220,35,1,1,null,0,0,7
1705959005653,33,GetTrack,101,Switching Protocols,Locations 1-29,text,true,,16220,35,1,1,null,0,0,7
1705959005752,30,GetTrack,101,Switching Protocols,Locations 1-30,text,true,,16220,35,1,1,null,0,0,6
1705959005851,26,GetTrack,101,Switching Protocols,Locations 1-31,text,true,,16220,35,1,1,null,0,0,7
1705959005950,29,GetTrack,101,Switching Protocols,Locations 1-32,text,true,,16220,35,1,1,null,0,0,9
1705959006049,26,GetTrack,101,Switching Protocols,Locations 1-33,text,true,,16220,35,1,1,null,0,0,7
