timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1705964755558,211,GetTrack,101,Switching Protocols,Locations 1-1,text,true,,145702,35,3,3,null,0,0,43
1705964755641,304,GetTrack,101,Switching Protocols,Locations 1-2,text,true,,145702,35,4,4,null,0,0,136
1705964755736,328,GetTrack,101,Switching Protocols,Locations 1-3,text,true,,145702,35,4,4,null,0,0,65
1705964755832,430,GetTrack,101,Switching Protocols,Locations 1-4,text,true,,145702,35,5,5,null,0,0,237
1705964755931,449,GetTrack,101,Switching Protocols,Locations 1-5,text,true,,145702,35,5,5,null,0,0,163
1705964756029,563,GetTrack,101,Switching Protocols,Locations 1-6,text,true,,145702,35,6,6,null,0,0,86
1705964756128,707,GetTrack,101,Switching Protocols,Locations 1-7,text,true,,145702,35,8,8,null,0,0,469
1705964756228,725,GetTrack,101,Switching Protocols,Locations 1-8,text,true,,145702,35,8,8,null,0,0,389
1705964756328,758,GetTrack,101,Switching Protocols,Locations 1-9,text,true,,145702,35,8,8,null,0,0,317
1705964756427,778,GetTrack,101,Switching Protocols,Locations 1-10,text,true,,145702,35,8,8,null,0,0,239
1705964756526,802,GetTrack,101,Switching Protocols,Locations 1-11,text,true,,145702,35,9,9,null,0,0,164
1705964756625,1008,GetTrack,101,Switching Protocols,Locations 1-12,text,true,,145702,35,11,11,null,0,0,709
1705964756724,1108,GetTrack,101,Switching Protocols,Locations 1-13,text,true,,145702,35,12,12,null,0,0,632
1705964756826,1125,GetTrack,101,Switching Protocols,Locations 1-14,text,true,,145702,35,12,12,null,0,0,553
1705964756924,1157,GetTrack,101,Switching Protocols,Locations 1-15,text,true,,145702,35,12,12,null,0,0,479
1705964757023,1170,GetTrack,101,Switching Protocols,Locations 1-16,text,true,,145702,35,12,12,null,0,0,401
1705964757122,1184,GetTrack,101,Switching Protocols,Locations 1-17,text,true,,145702,35,12,12,null,0,0,327
1705964757223,1192,GetTrack,101,Switching Protocols,Locations 1-18,text,true,,145702,35,12,12,null,0,0,247
1705964757316,1224,GetTrack,101,Switching Protocols,Locations 1-19,text,true,,145702,35,13,13,null,0,0,176
1705964757424,1567,GetTrack,101,Switching Protocols,Locations 1-20,text,true,,145702,35,16,16,null,0,0,1124
1705964757519,1588,GetTrack,101,Switching Protocols,Locations 1-21,text,true,,145702,35,16,16,null,0,0,1059
1705964757622,1601,GetTrack,101,Switching Protocols,Locations 1-22,text,true,,145702,35,17,17,null,0,0,989
1705964757721,1625,GetTrack,101,Switching Protocols,Locations 1-23,text,true,,145702,35,17,17,null,0,0,915
1705964757820,1645,GetTrack,101,Switching Protocols,Locations 1-24,text,true,,145702,35,17,17,null,0,0,839
1705964757919,1663,GetTrack,101,Switching Protocols,Locations 1-25,text,true,,145702,35,17,17,null,0,0,761
1705964758019,1693,GetTrack,101,Switching Protocols,Locations 1-26,text,true,,145702,35,17,17,null,0,0,685
1705964758118,1781,GetTrack,101,Switching Protocols,Locations 1-27,text,true,,145702,35,18,18,null,0,0,608
1705964758218,1815,GetTrack,101,Switching Protocols,Locations 1-28,text,true,,145702,35,19,19,null,0,0,528
1705964758317,1840,GetTrack,101,Switching Protocols,Locations 1-29,text,true,,145702,35,19,19,null,0,0,451
1705964758416,1856,GetTrack,101,Switching Protocols,Locations 1-30,text,true,,145702,35,19,19,null,0,0,372
1705964758518,1872,GetTrack,101,Switching Protocols,Locations 1-31,text,true,,145702,35,19,19,null,0,0,293
1705964758615,2321,GetTrack,101,Switching Protocols,Locations 1-32,text,true,,145702,35,24,24,null,0,0,1780
1705964758715,2344,GetTrack,101,Switching Protocols,Locations 1-33,text,true,,145702,35,24,24,null,0,0,1709
1705964758815,2414,GetTrack,101,Switching Protocols,Locations 1-34,text,true,,145702,35,25,25,null,0,0,1632
1705964758916,2447,GetTrack,101,Switching Protocols,Locations 1-35,text,true,,145702,35,25,25,null,0,0,1553
1705964759016,2461,GetTrack,101,Switching Protocols,Locations 1-36,text,true,,145702,35,25,25,null,0,0,1475
1705964759114,2488,GetTrack,101,Switching Protocols,Locations 1-37,text,true,,145702,35,25,25,null,0,0,1398
1705964759215,2502,GetTrack,101,Switching Protocols,Locations 1-38,text,true,,145702,35,26,26,null,0,0,1325
1705964759315,2520,GetTrack,101,Switching Protocols,Locations 1-39,text,true,,145702,35,26,26,null,0,0,1247
1705964759416,2553,GetTrack,101,Switching Protocols,Locations 1-40,text,true,,145702,35,26,26,null,0,0,1168
1705964759516,2644,GetTrack,101,Switching Protocols,Locations 1-41,text,true,,145702,35,27,27,null,0,0,1088
1705964759619,2665,GetTrack,101,Switching Protocols,Locations 1-42,text,true,,145702,35,27,27,null,0,0,1011
1705964759725,2675,GetTrack,101,Switching Protocols,Locations 1-43,text,true,,145702,35,27,27,null,0,0,926
1705964759816,2696,GetTrack,101,Switching Protocols,Locations 1-44,text,true,,145702,35,27,27,null,0,0,858
1705964759915,2718,GetTrack,101,Switching Protocols,Locations 1-45,text,true,,145702,35,28,28,null,0,0,780
1705964760015,2740,GetTrack,101,Switching Protocols,Locations 1-46,text,true,,145702,35,28,28,null,0,0,704
1705964760116,2755,GetTrack,101,Switching Protocols,Locations 1-47,text,true,,145702,35,28,28,null,0,0,625
1705964760217,2780,GetTrack,101,Switching Protocols,Locations 1-48,text,true,,145702,35,28,28,null,0,0,546
1705964760315,2868,GetTrack,101,Switching Protocols,Locations 1-49,text,true,,145702,35,29,29,null,0,0,470
1705964760415,2985,GetTrack,101,Switching Protocols,Locations 1-50,text,true,,145702,35,30,30,null,0,0,2774
1705964760516,3532,GetTrack,101,Switching Protocols,Locations 1-51,text,true,,145702,35,36,36,null,0,0,2703
1705964760615,3552,GetTrack,101,Switching Protocols,Locations 1-52,text,true,,145702,35,36,36,null,0,0,2627
1705964760715,3571,GetTrack,101,Switching Protocols,Locations 1-53,text,true,,145702,35,36,36,null,0,0,2550
