timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1705964511169,4858,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-3,,false,,0,0,51,51,null,0,0,0
1705964511653,4374,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-8,,false,,0,0,51,51,null,0,0,0
1705964511750,4276,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-9,,false,,0,0,51,51,null,0,0,0
1705964511848,4178,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-10,,false,,0,0,51,51,null,0,0,0
1705964511947,4079,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-11,,false,,0,0,51,51,null,0,0,0
1705964511558,4468,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-7,,false,,0,0,51,51,null,0,0,0
1705964511000,5023,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-1,,false,,0,0,51,51,null,0,0,0
1705964511267,4759,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-4,,false,,0,0,51,51,null,0,0,0
1705964511074,4952,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-2,,false,,0,0,51,51,null,0,0,0
1705964511459,4567,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-6,,false,,0,0,51,51,null,0,0,0
1705964511361,4665,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-5,,false,,0,0,51,51,null,0,0,0
1705964512239,4765,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-14,,false,,0,0,50,50,null,0,0,0
1705964512735,4270,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-19,,false,,0,0,49,49,null,0,0,0
1705964512637,4368,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-18,,false,,0,0,49,49,null,0,0,0
1705964512044,4961,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-12,,false,,0,0,48,48,null,0,0,0
1705964512844,4162,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-20,,false,,0,0,46,46,null,0,0,0
1705964512935,4072,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-21,,false,,0,0,45,45,null,0,0,0
1705964512336,4671,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-15,,false,,0,0,44,44,null,0,0,0
1705964512435,4573,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-16,,false,,0,0,43,43,null,0,0,0
1705964512536,4473,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-17,,false,,0,0,42,42,null,0,0,0
1705964512138,4871,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-13,,false,,0,0,41,41,null,0,0,0
1705964513037,4965,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-22,,false,,0,0,50,50,null,0,0,0
1705964513740,4265,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-29,,false,,0,0,49,49,null,0,0,0
1705964513829,4177,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-30,,false,,0,0,48,48,null,0,0,0
1705964513929,4078,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-31,,false,,0,0,47,47,null,0,0,0
1705964513442,4568,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-26,,false,,0,0,46,46,null,0,0,0
1705964513135,4875,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-23,,false,,0,0,45,45,null,0,0,0
1705964513342,4671,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-25,,false,,0,0,44,44,null,0,0,0
1705964513544,4472,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-27,,false,,0,0,44,44,null,0,0,0
1705964513653,4364,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-28,,false,,0,0,42,42,null,0,0,0
1705964513232,4775,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-24,,false,,0,0,46,46,null,0,0,0
1705964514029,4973,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-32,,false,,0,0,50,50,null,0,0,0
1705964514328,4677,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-35,,false,,0,0,50,50,null,0,0,0
1705964514837,4176,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-40,,false,,0,0,49,49,null,0,0,0
1705964514128,4888,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-33,,false,,0,0,49,49,null,0,0,0
1705964514930,4086,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-41,,false,,0,0,48,48,null,0,0,0
1705964514229,4788,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-34,,false,,0,0,48,48,null,0,0,0
1705964514429,4588,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-36,,false,,0,0,46,46,null,0,0,0
1705964514529,4489,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-37,,false,,0,0,45,45,null,0,0,0
1705964514628,4391,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-38,,false,,0,0,44,44,null,0,0,0
1705964514737,4272,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-39,,false,,0,0,41,41,null,0,0,0
1705964515032,4971,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-42,,false,,0,0,50,50,null,0,0,0
1705964515936,4079,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-51,,false,,0,0,50,50,null,0,0,0
1705964515134,4887,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-43,,false,,0,0,49,49,null,0,0,0
1705964515229,4793,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-44,,false,,0,0,48,48,null,0,0,0
1705964515330,4693,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-45,,false,,0,0,47,47,null,0,0,0
1705964515432,4592,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-46,,false,,0,0,46,46,null,0,0,0
1705964515532,4493,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-47,,false,,0,0,45,45,null,0,0,0
1705964515630,4404,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-48,,false,,0,0,44,44,null,0,0,0
1705964515836,4199,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-50,,false,,0,0,43,43,null,0,0,0
1705964515731,4305,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-49,,false,,0,0,42,42,null,0,0,0
1705964516028,4987,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-52,,false,,0,0,49,49,null,0,0,0
1705964516129,4903,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-53,,false,,0,0,48,48,null,0,0,0
1705964516229,4806,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-54,,false,,0,0,48,48,null,0,0,0
1705964516333,4704,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-55,,false,,0,0,46,46,null,0,0,0
1705964516731,4340,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-59,,false,,0,0,45,45,null,0,0,0
1705964516532,4539,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-57,,false,,0,0,45,45,null,0,0,0
1705964516630,4439,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-58,,false,,0,0,45,45,null,0,0,0
1705964516830,4245,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-60,,false,,0,0,45,45,null,0,0,0
1705964516930,4145,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-61,,false,,0,0,45,45,null,0,0,0
1705964516433,4632,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-56,,false,,0,0,45,45,null,0,0,0
1705964517031,4991,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-62,,false,,0,0,39,39,null,0,0,0
1705964517131,4920,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-63,,false,,0,0,38,38,null,0,0,0
1705964517238,4821,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-64,,false,,0,0,37,37,null,0,0,0
1705964517428,4635,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-66,,false,,0,0,37,37,null,0,0,0
1705964517331,4735,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-65,,false,,0,0,37,37,null,0,0,0
1705964517528,4540,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-67,,false,,0,0,37,37,null,0,0,0
1705964517828,4241,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-70,,false,,0,0,37,37,null,0,0,0
1705964517729,4341,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-69,,false,,0,0,37,37,null,0,0,0
1705964517928,4146,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-71,,false,,0,0,37,37,null,0,0,0
1705964517630,4449,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-68,,false,,0,0,37,37,null,0,0,0
1705964518031,4984,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-72,,false,,0,0,29,29,null,0,0,0
1705964518128,4904,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-73,,false,,0,0,28,28,null,0,0,0
1705964518227,4825,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-74,,false,,0,0,27,27,null,0,0,0
1705964518327,4728,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-75,,false,,0,0,27,27,null,0,0,0
1705964518429,4630,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-76,,false,,0,0,26,26,null,0,0,0
1705964518629,4445,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-78,,false,,0,0,24,24,null,0,0,0
1705964518528,4546,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-77,,false,,0,0,24,24,null,0,0,0
1705964518728,4350,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-79,,false,,0,0,23,23,null,0,0,0
1705964518928,4158,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-81,,false,,0,0,21,21,null,0,0,0
1705964518828,4263,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-80,,false,,0,0,20,20,null,0,0,0
1705964519029,4981,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-82,,false,,0,0,19,19,null,0,0,0
1705964519228,4787,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-84,,false,,0,0,19,19,null,0,0,0
1705964519129,4888,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-83,,false,,0,0,19,19,null,0,0,0
1705964519331,4696,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-85,,false,,0,0,17,17,null,0,0,0
1705964519431,4606,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-86,,false,,0,0,15,15,null,0,0,0
1705964519528,4516,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-87,,false,,0,0,14,14,null,0,0,0
1705964519628,4421,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-88,,false,,0,0,13,13,null,0,0,0
1705964519728,4328,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-89,,false,,0,0,12,12,null,0,0,0
1705964519828,4243,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-90,,false,,0,0,11,11,null,0,0,0
