timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1705964491979,3780,GetTrack,101,Switching Protocols,Locations 1-1,text,true,,1486770,35,39,39,null,0,0,38
1705964492352,4663,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-5,,false,,0,0,50,50,null,0,0,0
1705964492942,4080,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-11,,false,,0,0,49,49,null,0,0,0
1705964492843,4179,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-10,,false,,0,0,49,49,null,0,0,0
1705964492452,4570,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-6,,false,,0,0,49,49,null,0,0,0
1705964492744,4278,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-9,,false,,0,0,48,48,null,0,0,0
1705964492645,4379,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-8,,false,,0,0,45,45,null,0,0,0
1705964492549,4475,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-7,,false,,0,0,45,45,null,0,0,0
1705964493042,4960,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-12,,false,,0,0,53,53,null,0,0,0
1705964493143,4860,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-13,,false,,0,0,52,52,null,0,0,0
1705964493443,4561,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-16,,false,,0,0,51,51,null,0,0,0
1705964493743,4261,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-19,,false,,0,0,51,51,null,0,0,0
1705964493542,4462,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-17,,false,,0,0,51,51,null,0,0,0
1705964493941,4065,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-21,,false,,0,0,50,50,null,0,0,0
1705964493244,4767,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-14,,false,,0,0,48,48,null,0,0,0
1705964493344,4671,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-15,,false,,0,0,46,46,null,0,0,0
1705964493642,4374,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-18,,false,,0,0,46,46,null,0,0,0
1705964493841,4175,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-20,,false,,0,0,44,44,null,0,0,0
1705964494041,4961,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-22,,false,,0,0,53,53,null,0,0,0
1705964494241,4762,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-24,,false,,0,0,52,52,null,0,0,0
1705964494542,4461,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-27,,false,,0,0,52,52,null,0,0,0
1705964494142,4862,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-23,,false,,0,0,50,50,null,0,0,0
1705964494341,4664,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-25,,false,,0,0,49,49,null,0,0,0
1705964494642,4377,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-28,,false,,0,0,49,49,null,0,0,0
1705964494742,4277,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-29,,false,,0,0,49,49,null,0,0,0
1705964494444,4569,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-26,,false,,0,0,49,49,null,0,0,0
1705964494842,4179,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-30,,false,,0,0,46,46,null,0,0,0
1705964494947,4076,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-31,,false,,0,0,44,44,null,0,0,0
1705964495045,4959,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-32,,false,,0,0,53,53,null,0,0,0
1705964495948,4056,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-41,,false,,0,0,53,53,null,0,0,0
1705964495145,4860,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-33,,false,,0,0,51,51,null,0,0,0
1705964495244,4761,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-34,,false,,0,0,50,50,null,0,0,0
1705964495342,4664,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-35,,false,,0,0,49,49,null,0,0,0
1705964495442,4565,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-36,,false,,0,0,48,48,null,0,0,0
1705964495543,4465,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-37,,false,,0,0,47,47,null,0,0,0
1705964495642,4366,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-38,,false,,0,0,46,46,null,0,0,0
1705964495750,4259,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-39,,false,,0,0,45,45,null,0,0,0
1705964495857,4153,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-40,,false,,0,0,44,44,null,0,0,0
1705964496041,4961,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-42,,false,,0,0,53,53,null,0,0,0
1705964496846,4169,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-50,,false,,0,0,52,52,null,0,0,0
1705964496146,4870,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-43,,false,,0,0,52,52,null,0,0,0
1705964496242,4774,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-44,,false,,0,0,50,50,null,0,0,0
1705964496341,4676,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-45,,false,,0,0,49,49,null,0,0,0
1705964496442,4577,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-46,,false,,0,0,48,48,null,0,0,0
1705964496541,4479,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-47,,false,,0,0,47,47,null,0,0,0
1705964496643,4378,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-48,,false,,0,0,46,46,null,0,0,0
1705964496745,4277,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-49,,false,,0,0,45,45,null,0,0,0
1705964496941,4082,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-51,,false,,0,0,44,44,null,0,0,0
1705964492055,9667,GetTrack,Websocket I/O error,WebSocket I/O error: Read timed out,Locations 1-2,,false,,145,35,50,50,null,0,0,3661
1705964497041,4974,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-52,,false,,0,0,51,51,null,0,0,0
1705964497141,4875,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-53,,false,,0,0,50,50,null,0,0,0
1705964497241,4775,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-54,,false,,0,0,50,50,null,0,0,0
1705964497342,4676,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-55,,false,,0,0,49,49,null,0,0,0
1705964497447,4572,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-56,,false,,0,0,47,47,null,0,0,0
1705964497546,4473,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-57,,false,,0,0,47,47,null,0,0,0
1705964497640,4380,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-58,,false,,0,0,45,45,null,0,0,0
1705964497743,4279,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-59,,false,,0,0,44,44,null,0,0,0
1705964497842,4181,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-60,,false,,0,0,43,43,null,0,0,0
1705964497944,4081,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-61,,false,,0,0,42,42,null,0,0,0
1705964492155,10035,GetTrack,Websocket I/O error,WebSocket I/O error: Read timed out,Locations 1-3,,false,,145,35,41,41,null,0,0,4032
1705964492250,10368,GetTrack,Websocket I/O error,WebSocket I/O error: Read timed out,Locations 1-4,,false,,145,35,40,40,null,0,0,4364
1705964498041,4960,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-62,,false,,0,0,39,39,null,0,0,0
1705964498245,4758,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-64,,false,,0,0,38,38,null,0,0,0
1705964498940,4066,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-71,,false,,0,0,37,37,null,0,0,0
1705964498342,4667,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-65,,false,,0,0,36,36,null,0,0,0
1705964498541,4469,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-67,,false,,0,0,35,35,null,0,0,0
1705964498641,4369,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-68,,false,,0,0,34,34,null,0,0,0
1705964498840,4169,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-70,,false,,0,0,35,35,null,0,0,0
1705964498141,4874,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-63,,false,,0,0,32,32,null,0,0,0
1705964498442,4574,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-66,,false,,0,0,31,31,null,0,0,0
1705964498741,4276,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-69,,false,,0,0,30,30,null,0,0,0
1705964499042,4959,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-72,,false,,0,0,29,29,null,0,0,0
1705964499141,4861,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-73,,false,,0,0,29,29,null,0,0,0
1705964499241,4761,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-74,,false,,0,0,27,27,null,0,0,0
1705964499341,4661,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-75,,false,,0,0,27,27,null,0,0,0
1705964499640,4363,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-78,,false,,0,0,26,26,null,0,0,0
1705964499840,4163,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-80,,false,,0,0,26,26,null,0,0,0
1705964499440,4565,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-76,,false,,0,0,23,23,null,0,0,0
1705964499541,4465,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-77,,false,,0,0,22,22,null,0,0,0
1705964499742,4265,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-79,,false,,0,0,21,21,null,0,0,0
1705964499948,4060,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-81,,false,,0,0,20,20,null,0,0,0
1705964500045,4956,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-82,,false,,0,0,19,19,null,0,0,0
1705964500241,4761,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-84,,false,,0,0,18,18,null,0,0,0
1705964500143,4859,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-83,,false,,0,0,18,18,null,0,0,0
1705964500340,4663,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-85,,false,,0,0,16,16,null,0,0,0
1705964500440,4564,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-86,,false,,0,0,16,16,null,0,0,0
1705964500539,4465,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-87,,false,,0,0,14,14,null,0,0,0
1705964500640,4364,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-88,,false,,0,0,14,14,null,0,0,0
1705964500841,4165,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-90,,false,,0,0,12,12,null,0,0,0
1705964500740,4268,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-89,,false,,0,0,11,11,null,0,0,0
1705964500940,4069,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-91,,false,,0,0,10,10,null,0,0,0
