timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1705964536489,1018,AddLocation,101,Switching Protocols,Locations 1-1,text,true,,268,121,11,11,null,0,0,34
1705964536563,3713,AddLocation,101,Switching Protocols,Locations 1-2,text,true,,268,121,37,37,null,0,0,947
1705964536657,4103,AddLocation,101,Switching Protocols,Locations 1-3,text,true,,268,121,41,41,null,0,0,1304
1705964536755,4495,AddLocation,101,Switching Protocols,Locations 1-4,text,true,,268,121,45,45,null,0,0,1680
1705964536850,4882,AddLocation,101,Switching Protocols,Locations 1-5,text,true,,268,121,49,49,null,0,0,2035
1705964537048,4983,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-7,,false,,0,0,51,51,null,0,0,0
1705964537851,4180,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-15,,false,,0,0,51,51,null,0,0,0
1705964537547,4491,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-12,,false,,0,0,49,49,null,0,0,0
1705964537751,4286,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-14,,false,,0,0,49,49,null,0,0,0
1705964537649,4388,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-13,,false,,0,0,47,47,null,0,0,0
1705964537250,4789,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-9,,false,,0,0,47,47,null,0,0,0
1705964537981,4059,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-16,,false,,0,0,47,47,null,0,0,0
1705964537346,4694,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-10,,false,,0,0,47,47,null,0,0,0
1705964537150,4881,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-8,,false,,0,0,45,45,null,0,0,0
1705964537450,4593,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-11,,false,,0,0,42,42,null,0,0,0
1705964536949,5285,AddLocation,101,Switching Protocols,Locations 1-6,text,true,,268,121,43,43,null,0,0,2392
1705964538112,4906,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-17,,false,,0,0,50,50,null,0,0,0
1705964538308,4711,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-19,,false,,0,0,50,50,null,0,0,0
1705964538407,4612,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-20,,false,,0,0,49,49,null,0,0,0
1705964538805,4220,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-24,,false,,0,0,47,47,null,0,0,0
1705964538904,4121,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-25,,false,,0,0,47,47,null,0,0,0
1705964538706,4321,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-23,,false,,0,0,47,47,null,0,0,0
1705964538508,4519,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-21,,false,,0,0,47,47,null,0,0,0
1705964538606,4422,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-22,,false,,0,0,46,46,null,0,0,0
1705964538212,4814,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-18,,false,,0,0,47,47,null,0,0,0
1705964539003,5001,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-26,,false,,0,0,51,51,null,0,0,0
1705964539102,4903,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-27,,false,,0,0,51,51,null,0,0,0
1705964539201,4804,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-28,,false,,0,0,51,51,null,0,0,0
1705964539300,4706,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-29,,false,,0,0,50,50,null,0,0,0
1705964539399,4623,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-30,,false,,0,0,47,47,null,0,0,0
1705964539498,4524,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-31,,false,,0,0,47,47,null,0,0,0
1705964539597,4425,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-32,,false,,0,0,47,47,null,0,0,0
1705964539696,4328,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-33,,false,,0,0,44,44,null,0,0,0
1705964539795,4229,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-34,,false,,0,0,44,44,null,0,0,0
1705964539894,4131,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-35,,false,,0,0,43,43,null,0,0,0
1705964539993,4034,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-36,,false,,0,0,41,41,null,0,0,0
1705964540092,4910,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-37,,false,,0,0,50,50,null,0,0,0
1705964540191,4825,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-38,,false,,0,0,49,49,null,0,0,0
1705964540289,4728,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-39,,false,,0,0,49,49,null,0,0,0
1705964540388,4631,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-40,,false,,0,0,47,47,null,0,0,0
1705964540487,4533,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-41,,false,,0,0,47,47,null,0,0,0
1705964540586,4435,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-42,,false,,0,0,45,45,null,0,0,0
1705964540783,4240,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-44,,false,,0,0,44,44,null,0,0,0
1705964540883,4140,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-45,,false,,0,0,44,44,null,0,0,0
1705964540982,4044,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-46,,false,,0,0,42,42,null,0,0,0
1705964540685,4341,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-43,,false,,0,0,42,42,null,0,0,0
1705964541081,4938,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-47,,false,,0,0,50,50,null,0,0,0
1705964541180,4840,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-48,,false,,0,0,49,49,null,0,0,0
1705964541378,4643,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-50,,false,,0,0,48,48,null,0,0,0
1705964541279,4742,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-49,,false,,0,0,48,48,null,0,0,0
1705964541477,4546,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-51,,false,,0,0,46,46,null,0,0,0
1705964541576,4446,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-52,,false,,0,0,46,46,null,0,0,0
1705964541666,4356,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-53,,false,,0,0,44,44,null,0,0,0
1705964541766,4258,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-54,,false,,0,0,43,43,null,0,0,0
1705964541964,4060,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-56,,false,,0,0,43,43,null,0,0,0
1705964541865,4160,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-55,,false,,0,0,41,41,null,0,0,0
1705964542063,4938,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-57,,false,,0,0,44,44,null,0,0,0
1705964542360,4642,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-60,,false,,0,0,43,43,null,0,0,0
1705964542162,4840,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-58,,false,,0,0,43,43,null,0,0,0
1705964542558,4444,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-62,,false,,0,0,43,43,null,0,0,0
1705964542261,4745,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-59,,false,,0,0,40,40,null,0,0,0
1705964542459,4548,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-61,,false,,0,0,39,39,null,0,0,0
1705964542657,4356,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-63,,false,,0,0,38,38,null,0,0,0
1705964542756,4258,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-64,,false,,0,0,37,37,null,0,0,0
1705964542855,4159,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-65,,false,,0,0,36,36,null,0,0,0
1705964542954,4061,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-66,,false,,0,0,35,35,null,0,0,0
1705964543845,4158,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-75,,false,,0,0,34,34,null,0,0,0
1705964543944,4073,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-76,,false,,0,0,33,33,null,0,0,0
1705964543053,4965,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-67,,false,,0,0,32,32,null,0,0,0
1705964543153,4865,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-68,,false,,0,0,31,31,null,0,0,0
1705964543252,4767,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-69,,false,,0,0,30,30,null,0,0,0
1705964543358,4662,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-70,,false,,0,0,29,29,null,0,0,0
1705964543454,4567,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-71,,false,,0,0,28,28,null,0,0,0
1705964543545,4476,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-72,,false,,0,0,27,27,null,0,0,0
1705964543644,4378,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-73,,false,,0,0,26,26,null,0,0,0
1705964543744,4279,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-74,,false,,0,0,25,25,null,0,0,0
1705964544051,4950,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-77,,false,,0,0,24,24,null,0,0,0
1705964544248,4754,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-79,,false,,0,0,23,23,null,0,0,0
1705964544152,4850,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-78,,false,,0,0,23,23,null,0,0,0
1705964544545,4457,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-82,,false,,0,0,23,23,null,0,0,0
1705964544647,4355,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-83,,false,,0,0,23,23,null,0,0,0
1705964544349,4654,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-80,,false,,0,0,19,19,null,0,0,0
