timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1706461880930,320,GetTrack,101,Switching Protocols,Locations 1-1,text,true,,143721,35,4,4,null,0,0,52
1706461881016,524,GetTrack,101,Switching Protocols,Locations 1-2,text,true,,143721,35,6,6,null,0,0,244
1706461881114,534,GetTrack,101,Switching Protocols,Locations 1-3,text,true,,143721,35,6,6,null,0,0,184
1706461881213,609,GetTrack,101,Switching Protocols,Locations 1-4,text,true,,143721,35,7,7,null,0,0,126
1706461881311,833,GetTrack,101,Switching Protocols,Locations 1-5,text,true,,143721,35,9,9,null,0,0,527
1706461881420,871,GetTrack,101,Switching Protocols,Locations 1-6,text,true,,143721,35,10,10,null,0,0,453
1706461881508,898,GetTrack,101,Switching Protocols,Locations 1-7,text,true,,143721,35,10,10,null,0,0,396
1706461881611,1021,GetTrack,101,Switching Protocols,Locations 1-8,text,true,,143721,35,11,11,null,0,0,325
1706461881709,1116,GetTrack,101,Switching Protocols,Locations 1-9,text,true,,143721,35,12,12,null,0,0,258
1706461881803,1130,GetTrack,101,Switching Protocols,Locations 1-10,text,true,,143721,35,12,12,null,0,0,195
1706461881898,1474,GetTrack,101,Switching Protocols,Locations 1-11,text,true,,143721,35,15,15,null,0,0,1040
1706461881997,1487,GetTrack,101,Switching Protocols,Locations 1-12,text,true,,143721,35,16,16,null,0,0,971
1706461882093,1547,GetTrack,101,Switching Protocols,Locations 1-13,text,true,,143721,35,16,16,null,0,0,905
1706461882191,1576,GetTrack,101,Switching Protocols,Locations 1-14,text,true,,143721,35,16,16,null,0,0,835
1706461882282,1593,GetTrack,101,Switching Protocols,Locations 1-15,text,true,,143721,35,16,16,null,0,0,775
1706461882381,1610,GetTrack,101,Switching Protocols,Locations 1-16,text,true,,143721,35,17,17,null,0,0,707
1706461882480,1634,GetTrack,101,Switching Protocols,Locations 1-17,text,true,,143721,35,17,17,null,0,0,636
1706461882581,1671,GetTrack,101,Switching Protocols,Locations 1-18,text,true,,143721,35,17,17,null,0,0,567
1706461882680,1688,GetTrack,101,Switching Protocols,Locations 1-19,text,true,,143721,35,17,17,null,0,0,498
1706461882779,1709,GetTrack,101,Switching Protocols,Locations 1-20,text,true,,143721,35,18,18,null,0,0,430
1706461882879,1798,GetTrack,101,Switching Protocols,Locations 1-21,text,true,,143721,35,19,19,null,0,0,359
1706461882979,2366,GetTrack,101,Switching Protocols,Locations 1-22,text,true,,143721,35,24,24,null,0,0,1709
1706461883083,2379,GetTrack,101,Switching Protocols,Locations 1-23,text,true,,143721,35,24,24,null,0,0,1637
1706461883182,2386,GetTrack,101,Switching Protocols,Locations 1-24,text,true,,143721,35,24,24,null,0,0,1572
1706461883282,2435,GetTrack,101,Switching Protocols,Locations 1-25,text,true,,143721,35,25,25,null,0,0,1508
1706461883381,2479,GetTrack,101,Switching Protocols,Locations 1-26,text,true,,143721,35,25,25,null,0,0,1448
1706461883476,2504,GetTrack,101,Switching Protocols,Locations 1-27,text,true,,143721,35,26,26,null,0,0,1384
1706461883579,2528,GetTrack,101,Switching Protocols,Locations 1-28,text,true,,143721,35,26,26,null,0,0,1313
1706461883677,2604,GetTrack,101,Switching Protocols,Locations 1-29,text,true,,143721,35,27,27,null,0,0,1246
1706461883776,2619,GetTrack,101,Switching Protocols,Locations 1-30,text,true,,143721,35,27,27,null,0,0,1177
1706461883876,2630,GetTrack,101,Switching Protocols,Locations 1-31,text,true,,143721,35,27,27,null,0,0,1106
1706461883970,2647,GetTrack,101,Switching Protocols,Locations 1-32,text,true,,143721,35,27,27,null,0,0,1049
1706461884067,2670,GetTrack,101,Switching Protocols,Locations 1-33,text,true,,143721,35,27,27,null,0,0,982
