timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1706461828272,1120,GetResourcesNearby,101,Switching Protocols,Locations 1-1,text,true,,149,143,12,12,null,0,0,49
1706461828529,1890,GetResourcesNearby,101,Switching Protocols,Locations 1-4,text,true,,149,143,22,22,null,0,0,878
1706461828626,2760,GetResourcesNearby,101,Switching Protocols,Locations 1-5,text,true,,149,143,30,30,null,0,0,783
1706461828719,3730,GetResourcesNearby,101,Switching Protocols,Locations 1-6,text,true,,149,143,40,40,null,0,0,691
1706461828342,5090,GetResourcesNearby,101,Switching Protocols,Locations 1-2,text,true,,149,143,49,49,null,0,0,1069
1706461829606,4419,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-15,,false,,0,0,54,54,null,0,0,0
1706461829509,4517,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-14,,false,,0,0,54,54,null,0,0,0
1706461829915,4112,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-18,,false,,0,0,53,53,null,0,0,0
1706461829411,4618,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-13,,false,,0,0,52,52,null,0,0,0
1706461829821,4209,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-17,,false,,0,0,52,52,null,0,0,0
1706461829699,4333,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-16,,false,,0,0,49,49,null,0,0,0
1706461828440,5949,GetResourcesNearby,101,Switching Protocols,Locations 1-3,text,true,,149,143,51,51,null,0,0,971
1706461830012,4993,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-19,,false,,0,0,57,57,null,0,0,0
1706461830108,4899,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-20,,false,,0,0,56,56,null,0,0,0
1706461830306,4701,GetResourcesNearby,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-22,,false,,0,0,56,56,null,0,0,0
