timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1706461900389,151,AddLocation,101,Switching Protocols,Locations 1-1,text,true,,264,121,3,3,null,0,0,42
1706461900435,229,AddLocation,101,Switching Protocols,Locations 1-2,text,true,,264,121,3,3,null,0,0,136
1706461900530,230,AddLocation,101,Switching Protocols,Locations 1-3,text,true,,264,121,3,3,null,0,0,144
1706461900629,228,AddLocation,101,Switching Protocols,Locations 1-4,text,true,,264,121,3,3,null,0,0,133
1706461900727,219,AddLocation,101,Switching Protocols,Locations 1-5,text,true,,264,121,3,3,null,0,0,132
1706461900830,221,AddLocation,101,Switching Protocols,Locations 1-6,text,true,,264,121,3,3,null,0,0,119
1706461900927,208,AddLocation,101,Switching Protocols,Locations 1-7,text,true,,264,121,3,3,null,0,0,129
1706461901027,191,AddLocation,101,Switching Protocols,Locations 1-8,text,true,,264,121,2,2,null,0,0,110
1706461901124,194,AddLocation,101,Switching Protocols,Locations 1-9,text,true,,264,121,2,2,null,0,0,97
1706461901228,224,AddLocation,101,Switching Protocols,Locations 1-10,text,true,,264,121,3,3,null,0,0,95
1706461901327,223,AddLocation,101,Switching Protocols,Locations 1-11,text,true,,264,121,3,3,null,0,0,127
1706461901446,228,AddLocation,101,Switching Protocols,Locations 1-12,text,true,,264,121,3,3,null,0,0,107
1706461901536,178,AddLocation,101,Switching Protocols,Locations 1-13,text,true,,264,121,2,2,null,0,0,53
1706461901648,162,AddLocation,101,Switching Protocols,Locations 1-14,text,true,,264,121,2,2,null,0,0,69
1706461901745,158,AddLocation,101,Switching Protocols,Locations 1-15,text,true,,264,121,2,2,null,0,0,67
1706461901874,120,AddLocation,101,Switching Protocols,Locations 1-16,text,true,,264,121,2,2,null,0,0,33
1706461901974,124,AddLocation,101,Switching Protocols,Locations 1-17,text,true,,264,121,2,2,null,0,0,24
1706461902073,118,AddLocation,101,Switching Protocols,Locations 1-18,text,true,,264,121,2,2,null,0,0,29
1706461902157,115,AddLocation,101,Switching Protocols,Locations 1-19,text,true,,264,121,2,2,null,0,0,37
1706461902261,107,AddLocation,101,Switching Protocols,Locations 1-20,text,true,,264,121,2,2,null,0,0,14
1706461902356,103,AddLocation,101,Switching Protocols,Locations 1-21,text,true,,264,121,2,2,null,0,0,19
1706461902448,104,AddLocation,101,Switching Protocols,Locations 1-22,text,true,,264,121,2,2,null,0,0,14
1706461902543,94,AddLocation,101,Switching Protocols,Locations 1-23,text,true,,264,121,1,1,null,0,0,13
1706461902640,89,AddLocation,101,Switching Protocols,Locations 1-24,text,true,,264,121,1,1,null,0,0,7
1706461902743,90,AddLocation,101,Switching Protocols,Locations 1-25,text,true,,264,121,1,1,null,0,0,6
1706461902836,97,AddLocation,101,Switching Protocols,Locations 1-26,text,true,,264,121,2,2,null,0,0,8
1706461902933,100,AddLocation,101,Switching Protocols,Locations 1-27,text,true,,264,121,1,1,null,0,0,7
1706461903059,100,AddLocation,101,Switching Protocols,Locations 1-28,text,true,,264,121,2,2,null,0,0,5
