timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1706464548413,1535,GetTrack,101,Switching Protocols,Locations 1-1,text,true,,1445507,35,16,16,null,0,0,51
1706464548490,2489,GetTrack,101,Switching Protocols,Locations 1-2,text,true,,1445507,35,26,26,null,0,0,1455
1706464548588,4619,GetTrack,101,Switching Protocols,Locations 1-3,text,true,,1445507,35,47,47,null,0,0,2395
1706464548685,5621,GetTrack,101,Switching Protocols,Locations 1-4,text,true,,1445507,35,57,57,null,0,0,2365
1706464550166,4868,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-19,,false,,0,0,63,63,null,0,0,0
1706464550887,4150,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-26,,false,,0,0,62,62,null,0,0,0
1706464550464,4569,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-22,,false,,0,0,62,62,null,0,0,0
1706464550761,4278,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-25,,false,,0,0,60,60,null,0,0,0
1706464550963,4076,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-27,,false,,0,0,60,60,null,0,0,0
1706464550663,4376,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-24,,false,,0,0,60,60,null,0,0,0
1706464550562,4478,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-23,,false,,0,0,59,59,null,0,0,0
1706464550366,4675,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-21,,false,,0,0,56,56,null,0,0,0
1706464550266,4777,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-20,,false,,0,0,55,55,null,0,0,0
1706464550066,4979,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-18,,false,,0,0,54,54,null,0,0,0
1706464548785,6484,GetTrack,101,Switching Protocols,Locations 1-5,text,true,,1445507,35,56,56,null,0,0,2323
1706464551162,4843,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-29,,false,,0,0,62,62,null,0,0,0
1706464551262,4745,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-30,,false,,0,0,61,61,null,0,0,0
1706464551462,4548,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-32,,false,,0,0,60,60,null,0,0,0
1706464551861,4153,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-36,,false,,0,0,59,59,null,0,0,0
1706464551962,4051,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-37,,false,,0,0,59,59,null,0,0,0
1706464551762,4261,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-35,,false,,0,0,58,58,null,0,0,0
1706464551562,4462,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-33,,false,,0,0,58,58,null,0,0,0
1706464551363,4662,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-31,,false,,0,0,57,57,null,0,0,0
1706464551064,4947,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-28,,false,,0,0,57,57,null,0,0,0
1706464551661,4362,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-34,,false,,0,0,58,58,null,0,0,0
1706464548883,7347,GetTrack,101,Switching Protocols,Locations 1-6,text,true,,1445507,35,54,54,null,0,0,2295
1706464552071,4931,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-38,,false,,0,0,61,61,null,0,0,0
1706464552167,4836,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-39,,false,,0,0,60,60,null,0,0,0
1706464552264,4740,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-40,,false,,0,0,59,59,null,0,0,0
1706464552363,4642,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-41,,false,,0,0,58,58,null,0,0,0
1706464552463,4543,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-42,,false,,0,0,57,57,null,0,0,0
1706464552562,4446,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-43,,false,,0,0,56,56,null,0,0,0
1706464552662,4346,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-44,,false,,0,0,56,56,null,0,0,0
1706464552763,4248,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-45,,false,,0,0,54,54,null,0,0,0
1706464552864,4148,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-46,,false,,0,0,53,53,null,0,0,0
1706464552963,4052,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-47,,false,,0,0,52,52,null,0,0,0
1706464548974,8268,GetTrack,Websocket I/O error,WebSocket I/O error: Read timed out,Locations 1-7,,false,,145,35,53,53,null,0,0,2264
1706464549080,8225,GetTrack,Websocket I/O error,WebSocket I/O error: Read timed out,Locations 1-8,,false,,145,35,53,53,null,0,0,2221
1706464549176,8185,GetTrack,Websocket I/O error,WebSocket I/O error: Read timed out,Locations 1-9,,false,,145,35,52,52,null,0,0,2181
1706464549275,8150,GetTrack,Websocket I/O error,WebSocket I/O error: Read timed out,Locations 1-10,,false,,145,35,52,52,null,0,0,2145
1706464549373,8112,GetTrack,Websocket I/O error,WebSocket I/O error: Read timed out,Locations 1-11,,false,,145,35,52,52,null,0,0,2108
1706464549463,8079,GetTrack,Websocket I/O error,WebSocket I/O error: Read timed out,Locations 1-12,,false,,145,35,51,51,null,0,0,2075
1706464549571,8034,GetTrack,Websocket I/O error,WebSocket I/O error: Read timed out,Locations 1-13,,false,,145,35,51,51,null,0,0,2029
1706464549670,7999,GetTrack,Websocket I/O error,WebSocket I/O error: Read timed out,Locations 1-14,,false,,145,35,51,51,null,0,0,1995
1706464549771,7958,GetTrack,Websocket I/O error,WebSocket I/O error: Read timed out,Locations 1-15,,false,,145,35,50,50,null,0,0,1953
1706464549867,7922,GetTrack,Websocket I/O error,WebSocket I/O error: Read timed out,Locations 1-16,,false,,145,35,50,50,null,0,0,1918
1706464549967,7886,GetTrack,Websocket I/O error,WebSocket I/O error: Read timed out,Locations 1-17,,false,,145,35,49,49,null,0,0,1880
1706464553063,4942,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-48,,false,,0,0,50,50,null,0,0,0
1706464553162,4845,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-49,,false,,0,0,49,49,null,0,0,0
1706464553262,4746,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-50,,false,,0,0,48,48,null,0,0,0
1706464553363,4647,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-51,,false,,0,0,47,47,null,0,0,0
1706464553463,4549,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-52,,false,,0,0,46,46,null,0,0,0
1706464553563,4450,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-53,,false,,0,0,45,45,null,0,0,0
1706464553662,4353,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-54,,false,,0,0,44,44,null,0,0,0
1706464553762,4254,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-55,,false,,0,0,43,43,null,0,0,0
1706464553866,4152,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-56,,false,,0,0,42,42,null,0,0,0
1706464553965,4057,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-57,,false,,0,0,41,41,null,0,0,0
1706464554262,4743,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-60,,false,,0,0,43,43,null,0,0,0
