timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1705968182898,127,AddLocation,101,Switching Protocols,Locations 1-1,text,true,,263,121,2,2,null,0,0,50
1705968182976,122,AddLocation,101,Switching Protocols,Locations 1-2,text,true,,263,121,2,2,null,0,0,51
1705968183074,97,AddLocation,101,Switching Protocols,Locations 1-3,text,true,,263,121,1,1,null,0,0,27
1705968183182,71,AddLocation,101,Switching Protocols,Locations 1-4,text,true,,263,121,1,1,null,0,0,4
1705968183271,67,AddLocation,101,Switching Protocols,Locations 1-5,text,true,,263,121,1,1,null,0,0,3
1705968183371,71,AddLocation,101,Switching Protocols,Locations 1-6,text,true,,263,121,1,1,null,0,0,5
1705968183470,89,AddLocation,101,Switching Protocols,Locations 1-7,text,true,,263,121,1,1,null,0,0,6
1705968183569,67,AddLocation,101,Switching Protocols,Locations 1-8,text,true,,263,121,1,1,null,0,0,4
1705968183666,68,AddLocation,101,Switching Protocols,Locations 1-9,text,true,,263,121,1,1,null,0,0,5
1705968183767,88,AddLocation,101,Switching Protocols,Locations 1-10,text,true,,263,121,1,1,null,0,0,7
1705968183865,70,AddLocation,101,Switching Protocols,Locations 1-11,text,true,,263,121,1,1,null,0,0,6
1705968183966,96,AddLocation,101,Switching Protocols,Locations 1-12,text,true,,263,121,1,1,null,0,0,4
1705968184066,83,AddLocation,101,Switching Protocols,Locations 1-13,text,true,,263,121,1,1,null,0,0,8
1705968184169,62,AddLocation,101,Switching Protocols,Locations 1-14,text,true,,263,121,1,1,null,0,0,4
1705968184266,88,AddLocation,101,Switching Protocols,Locations 1-15,text,true,,263,121,1,1,null,0,0,4
1705968184372,89,AddLocation,101,Switching Protocols,Locations 1-16,text,true,,263,121,1,1,null,0,0,6
1705968184470,76,AddLocation,101,Switching Protocols,Locations 1-17,text,true,,263,121,1,1,null,0,0,6
1705968184581,131,AddLocation,101,Switching Protocols,Locations 1-18,text,true,,263,121,2,2,null,0,0,7
1705968184680,112,AddLocation,101,Switching Protocols,Locations 1-19,text,true,,263,121,2,2,null,0,0,36
1705968184779,103,AddLocation,101,Switching Protocols,Locations 1-20,text,true,,263,121,2,2,null,0,0,16
1705968184878,86,AddLocation,101,Switching Protocols,Locations 1-21,text,true,,263,121,1,1,null,0,0,11
1705968184978,67,AddLocation,101,Switching Protocols,Locations 1-22,text,true,,263,121,1,1,null,0,0,4
1705968185076,97,AddLocation,101,Switching Protocols,Locations 1-23,text,true,,263,121,1,1,null,0,0,7
1705968185176,74,AddLocation,101,Switching Protocols,Locations 1-24,text,true,,263,121,1,1,null,0,0,4
1705968185276,70,AddLocation,101,Switching Protocols,Locations 1-25,text,true,,263,121,1,1,null,0,0,5
1705968185375,73,AddLocation,101,Switching Protocols,Locations 1-26,text,true,,263,121,1,1,null,0,0,4
1705968185475,88,AddLocation,101,Switching Protocols,Locations 1-27,text,true,,263,121,1,1,null,0,0,4
1705968185574,119,AddLocation,101,Switching Protocols,Locations 1-28,text,true,,263,121,2,2,null,0,0,4
1705968185675,104,AddLocation,101,Switching Protocols,Locations 1-29,text,true,,263,121,2,2,null,0,0,22
1705968185773,74,AddLocation,101,Switching Protocols,Locations 1-30,text,true,,263,121,1,1,null,0,0,9
1705968185874,68,AddLocation,101,Switching Protocols,Locations 1-31,text,true,,263,121,1,1,null,0,0,4
1705968185972,68,AddLocation,101,Switching Protocols,Locations 1-32,text,true,,263,121,1,1,null,0,0,5
1705968186073,69,AddLocation,101,Switching Protocols,Locations 1-33,text,true,,263,121,1,1,null,0,0,5
1705968186172,81,AddLocation,101,Switching Protocols,Locations 1-34,text,true,,263,121,1,1,null,0,0,4
1705968186272,95,AddLocation,101,Switching Protocols,Locations 1-35,text,true,,263,121,1,1,null,0,0,6
1705968186370,68,AddLocation,101,Switching Protocols,Locations 1-36,text,true,,263,121,1,1,null,0,0,4
1705968186471,68,AddLocation,101,Switching Protocols,Locations 1-37,text,true,,263,121,1,1,null,0,0,4
1705968186570,67,AddLocation,101,Switching Protocols,Locations 1-38,text,true,,263,121,1,1,null,0,0,4
1705968186670,85,AddLocation,101,Switching Protocols,Locations 1-39,text,true,,263,121,1,1,null,0,0,4
1705968186768,67,AddLocation,101,Switching Protocols,Locations 1-40,text,true,,263,121,1,1,null,0,0,4
1705968186868,69,AddLocation,101,Switching Protocols,Locations 1-41,text,true,,263,121,1,1,null,0,0,4
1705968186968,78,AddLocation,101,Switching Protocols,Locations 1-42,text,true,,263,121,1,1,null,0,0,4
1705968187067,69,AddLocation,101,Switching Protocols,Locations 1-43,text,true,,263,121,1,1,null,0,0,4
1705968187167,106,AddLocation,101,Switching Protocols,Locations 1-44,text,true,,263,121,2,2,null,0,0,5
