timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1706415997817,106,AddLocation,101,Switching Protocols,Locations 1-1,text,true,,282,121,2,2,null,0,0,55
1706415997898,81,AddLocation,101,Switching Protocols,Locations 1-2,text,true,,282,121,1,1,null,0,0,44
1706415997985,50,AddLocation,101,Switching Protocols,Locations 1-3,text,true,,282,121,1,1,null,0,0,9
1706415998077,49,AddLocation,101,Switching Protocols,Locations 1-4,text,true,,282,121,1,1,null,0,0,5
1706415998181,29,AddLocation,101,Switching Protocols,Locations 1-5,text,true,,282,121,1,1,null,0,0,4
1706415998278,65,AddLocation,101,Switching Protocols,Locations 1-6,text,true,,282,121,1,1,null,0,0,7
1706415998375,48,AddLocation,101,Switching Protocols,Locations 1-7,text,true,,282,121,1,1,null,0,0,7
1706415998474,40,AddLocation,101,Switching Protocols,Locations 1-8,text,true,,282,121,1,1,null,0,0,6
1706415998573,30,AddLocation,101,Switching Protocols,Locations 1-9,text,true,,282,121,1,1,null,0,0,4
1706415998668,40,AddLocation,101,Switching Protocols,Locations 1-10,text,true,,282,121,1,1,null,0,0,6
1706415998765,84,AddLocation,101,Switching Protocols,Locations 1-11,text,true,,282,121,1,1,null,0,0,6
1706415998863,37,AddLocation,101,Switching Protocols,Locations 1-12,text,true,,282,121,1,1,null,0,0,7
1706415998963,81,AddLocation,101,Switching Protocols,Locations 1-13,text,true,,282,121,1,1,null,0,0,7
1706415999109,72,AddLocation,101,Switching Protocols,Locations 1-14,text,true,,282,121,1,1,null,0,0,7
1706415999200,41,AddLocation,101,Switching Protocols,Locations 1-15,text,true,,282,121,1,1,null,0,0,8
1706415999293,57,AddLocation,101,Switching Protocols,Locations 1-16,text,true,,282,121,1,1,null,0,0,7
1706415999390,72,AddLocation,101,Switching Protocols,Locations 1-17,text,true,,282,121,1,1,null,0,0,7
1706415999488,40,AddLocation,101,Switching Protocols,Locations 1-18,text,true,,282,121,1,1,null,0,0,4
1706415999583,49,AddLocation,101,Switching Protocols,Locations 1-19,text,true,,282,121,1,1,null,0,0,7
1706415999683,70,AddLocation,101,Switching Protocols,Locations 1-20,text,true,,282,121,1,1,null,0,0,7
1706415999782,49,AddLocation,101,Switching Protocols,Locations 1-21,text,true,,282,121,1,1,null,0,0,7
1706415999880,56,AddLocation,101,Switching Protocols,Locations 1-22,text,true,,282,121,1,1,null,0,0,6
1706415999978,37,AddLocation,101,Switching Protocols,Locations 1-23,text,true,,282,121,1,1,null,0,0,5
1706416000079,38,AddLocation,101,Switching Protocols,Locations 1-24,text,true,,282,121,1,1,null,0,0,6
1706416000176,76,AddLocation,101,Switching Protocols,Locations 1-25,text,true,,282,121,1,1,null,0,0,7
1706416000271,56,AddLocation,101,Switching Protocols,Locations 1-26,text,true,,282,121,1,1,null,0,0,7
1706416000363,66,AddLocation,101,Switching Protocols,Locations 1-27,text,true,,282,121,1,1,null,0,0,6
1706416000461,72,AddLocation,101,Switching Protocols,Locations 1-28,text,true,,282,121,1,1,null,0,0,6
1706416000561,75,AddLocation,101,Switching Protocols,Locations 1-29,text,true,,282,121,1,1,null,0,0,4
1706416000662,35,AddLocation,101,Switching Protocols,Locations 1-30,text,true,,282,121,1,1,null,0,0,4
1706416000762,47,AddLocation,101,Switching Protocols,Locations 1-31,text,true,,282,121,1,1,null,0,0,9
1706416000863,80,AddLocation,101,Switching Protocols,Locations 1-32,text,true,,282,121,1,1,null,0,0,7
1706416000961,73,AddLocation,101,Switching Protocols,Locations 1-33,text,true,,282,121,1,1,null,0,0,7
1706416001060,47,AddLocation,101,Switching Protocols,Locations 1-34,text,true,,282,121,1,1,null,0,0,7
1706416001161,79,AddLocation,101,Switching Protocols,Locations 1-35,text,true,,282,121,1,1,null,0,0,6
