timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1706418591367,1022,GetTrack,101,Switching Protocols,Locations 1-1,text,true,,1606861,35,11,11,null,0,0,33
1706418592143,4886,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-9,,false,,0,0,57,57,null,0,0,0
1706418592342,4687,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-11,,false,,0,0,57,57,null,0,0,0
1706418592242,4787,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-10,,false,,0,0,57,57,null,0,0,0
1706418592442,4596,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-12,,false,,0,0,54,54,null,0,0,0
1706418592548,4501,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-13,,false,,0,0,53,53,null,0,0,0
1706418592640,4415,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-14,,false,,0,0,52,52,null,0,0,0
1706418592738,4327,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-15,,false,,0,0,51,51,null,0,0,0
1706418592838,4238,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-16,,false,,0,0,50,50,null,0,0,0
1706418592937,4150,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-17,,false,,0,0,49,49,null,0,0,0
1706418591453,5743,GetTrack,101,Switching Protocols,Locations 1-2,text,true,,1606861,35,49,49,null,0,0,931
1706418591538,5935,GetTrack,101,Switching Protocols,Locations 1-3,text,true,,1606861,35,51,51,null,0,0,1460
1706418591649,6078,GetTrack,101,Switching Protocols,Locations 1-4,text,true,,1606861,35,53,53,null,0,0,1922
1706418593037,5201,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-18,,false,,0,0,57,57,null,0,0,0
1706418593136,5103,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-19,,false,,0,0,57,57,null,0,0,0
1706418593242,4998,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-20,,false,,0,0,55,55,null,0,0,0
1706418593337,4903,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-21,,false,,0,0,55,55,null,0,0,0
1706418593435,4805,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-22,,false,,0,0,55,55,null,0,0,0
1706418593635,4611,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-24,,false,,0,0,52,52,null,0,0,0
1706418593536,4710,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-23,,false,,0,0,52,52,null,0,0,0
1706418593831,4415,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-26,,false,,0,0,52,52,null,0,0,0
1706418593734,4512,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-25,,false,,0,0,52,52,null,0,0,0
1706418593929,4318,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-27,,false,,0,0,50,50,null,0,0,0
1706418591745,6603,GetTrack,101,Switching Protocols,Locations 1-5,text,true,,1606861,35,48,48,null,0,0,2414
1706418591844,6907,GetTrack,101,Switching Protocols,Locations 1-6,text,true,,1606861,35,51,51,null,0,0,2948
1706418594029,5084,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-28,,false,,0,0,53,53,null,0,0,0
1706418594128,4995,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-29,,false,,0,0,53,53,null,0,0,0
1706418594228,4895,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-30,,false,,0,0,53,53,null,0,0,0
1706418594328,4797,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-31,,false,,0,0,51,51,null,0,0,0
1706418594427,4701,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-32,,false,,0,0,50,50,null,0,0,0
1706418594529,4603,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-33,,false,,0,0,49,49,null,0,0,0
1706418594625,4508,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-34,,false,,0,0,48,48,null,0,0,0
1706418594722,4413,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-35,,false,,0,0,47,47,null,0,0,0
1706418594824,4312,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-36,,false,,0,0,46,46,null,0,0,0
1706418594920,4217,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-37,,false,,0,0,46,46,null,0,0,0
1706418591943,7206,GetTrack,101,Switching Protocols,Locations 1-7,text,true,,1606861,35,44,44,null,0,0,3291
1706418592043,7223,GetTrack,101,Switching Protocols,Locations 1-8,text,true,,1606861,35,44,44,null,0,0,3867
1706418595019,4983,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-38,,false,,0,0,50,50,null,0,0,0
1706418595120,4903,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-39,,false,,0,0,50,50,null,0,0,0
1706418595220,4814,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-40,,false,,0,0,49,49,null,0,0,0
1706418595319,4730,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-41,,false,,0,0,48,48,null,0,0,0
1706418595418,4631,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-42,,false,,0,0,47,47,null,0,0,0
1706418595519,4531,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-43,,false,,0,0,46,46,null,0,0,0
1706418595621,4430,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-44,,false,,0,0,45,45,null,0,0,0
1706418595719,4333,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-45,,false,,0,0,44,44,null,0,0,0
1706418595817,4236,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-46,,false,,0,0,43,43,null,0,0,0
1706418595919,4134,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-47,,false,,0,0,43,43,null,0,0,0
1706418596020,5522,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-48,,false,,0,0,53,53,null,0,0,0
1706418596118,5435,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-49,,false,,0,0,52,52,null,0,0,0
1706418596219,5339,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-50,,false,,0,0,51,51,null,0,0,0
1706418596320,5249,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-51,,false,,0,0,50,50,null,0,0,0
1706418596420,5160,GetTrack,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-52,,false,,0,0,49,49,null,0,0,0
