timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1705959044349,17,GetResourcesNearby,101,Switching Protocols,Locations 1-2,text,true,,149,143,2,2,null,0,0,10
1705959044272,74,GetResourcesNearby,101,Switching Protocols,Locations 1-1,text,true,,149,143,2,2,null,0,0,58
1705959044444,10,GetResourcesNearby,101,Switching Protocols,Locations 1-3,text,true,,149,143,1,1,null,0,0,6
1705959044542,10,GetResourcesNearby,101,Switching Protocols,Locations 1-4,text,true,,149,143,1,1,null,0,0,6
1705959044641,12,GetResourcesNearby,101,Switching Protocols,Locations 1-5,text,true,,149,143,1,1,null,0,0,6
1705959044735,13,GetResourcesNearby,101,Switching Protocols,Locations 1-6,text,true,,149,143,1,1,null,0,0,7
1705959044838,12,GetResourcesNearby,101,Switching Protocols,Locations 1-7,text,true,,149,143,1,1,null,0,0,6
1705959044938,12,GetResourcesNearby,101,Switching Protocols,Locations 1-8,text,true,,149,143,1,1,null,0,0,6
1705959045036,10,GetResourcesNearby,101,Switching Protocols,Locations 1-9,text,true,,149,143,1,1,null,0,0,4
1705959045135,13,GetResourcesNearby,101,Switching Protocols,Locations 1-10,text,true,,149,143,1,1,null,0,0,7
1705959045238,13,GetResourcesNearby,101,Switching Protocols,Locations 1-11,text,true,,149,143,1,1,null,0,0,6
1705959045338,14,GetResourcesNearby,101,Switching Protocols,Locations 1-12,text,true,,149,143,1,1,null,0,0,8
1705959045439,14,GetResourcesNearby,101,Switching Protocols,Locations 1-13,text,true,,149,143,1,1,null,0,0,7
1705959045536,14,GetResourcesNearby,101,Switching Protocols,Locations 1-14,text,true,,149,143,1,1,null,0,0,7
1705959045635,14,GetResourcesNearby,101,Switching Protocols,Locations 1-15,text,true,,149,143,1,1,null,0,0,8
1705959045735,12,GetResourcesNearby,101,Switching Protocols,Locations 1-16,text,true,,149,143,1,1,null,0,0,6
1705959045835,11,GetResourcesNearby,101,Switching Protocols,Locations 1-17,text,true,,149,143,1,1,null,0,0,5
1705959045948,13,GetResourcesNearby,101,Switching Protocols,Locations 1-18,text,true,,149,143,1,1,null,0,0,6
1705959046042,11,GetResourcesNearby,101,Switching Protocols,Locations 1-19,text,true,,149,143,1,1,null,0,0,5
1705959046141,12,GetResourcesNearby,101,Switching Protocols,Locations 1-20,text,true,,149,143,1,1,null,0,0,6
