timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1706416096880,329,AddLocation,101,Switching Protocols,Locations 1-1,text,true,,282,121,4,4,null,0,0,37
1706416096954,596,AddLocation,101,Switching Protocols,Locations 1-2,text,true,,282,121,6,6,null,0,0,259
1706416097053,681,AddLocation,101,Switching Protocols,Locations 1-3,text,true,,282,121,7,7,null,0,0,260
1706416097153,745,AddLocation,101,Switching Protocols,Locations 1-4,text,true,,282,121,8,8,null,0,0,209
1706416097247,986,AddLocation,101,Switching Protocols,Locations 1-5,text,true,,282,121,10,10,null,0,0,653
1706416097348,1338,AddLocation,101,Switching Protocols,Locations 1-6,text,true,,282,121,14,14,null,0,0,678
1706416097447,1460,AddLocation,101,Switching Protocols,Locations 1-7,text,true,,282,121,15,15,null,0,0,788
1706416097550,1538,AddLocation,101,Switching Protocols,Locations 1-8,text,true,,282,121,16,16,null,0,0,741
1706416097651,1594,AddLocation,101,Switching Protocols,Locations 1-9,text,true,,282,121,16,16,null,0,0,687
1706416097748,1739,AddLocation,101,Switching Protocols,Locations 1-10,text,true,,282,121,18,18,null,0,0,640
1706416097847,1853,AddLocation,101,Switching Protocols,Locations 1-11,text,true,,282,121,19,19,null,0,0,842
1706416097953,1994,AddLocation,101,Switching Protocols,Locations 1-12,text,true,,282,121,21,21,null,0,0,1535
1706416098048,2347,AddLocation,101,Switching Protocols,Locations 1-13,text,true,,282,121,24,24,null,0,0,1655
1706416098150,2536,AddLocation,101,Switching Protocols,Locations 1-14,text,true,,282,121,26,26,null,0,0,1803
1706416098251,2724,AddLocation,101,Switching Protocols,Locations 1-15,text,true,,282,121,28,28,null,0,0,1748
1706416098349,3218,AddLocation,101,Switching Protocols,Locations 1-16,text,true,,282,121,33,33,null,0,0,1711
1706416098449,3375,AddLocation,101,Switching Protocols,Locations 1-17,text,true,,282,121,34,34,null,0,0,1948
1706416098548,3442,AddLocation,101,Switching Protocols,Locations 1-18,text,true,,282,121,35,35,null,0,0,1893
1706416098648,3503,AddLocation,101,Switching Protocols,Locations 1-19,text,true,,282,121,36,36,null,0,0,1835
1706416098747,3815,AddLocation,101,Switching Protocols,Locations 1-20,text,true,,282,121,39,39,null,0,0,2234
1706416098848,3892,AddLocation,101,Switching Protocols,Locations 1-21,text,true,,282,121,39,39,null,0,0,2184
1706416098948,3964,AddLocation,101,Switching Protocols,Locations 1-22,text,true,,282,121,40,40,null,0,0,2128
1706416099047,4055,AddLocation,101,Switching Protocols,Locations 1-23,text,true,,282,121,41,41,null,0,0,2072
1706416099147,4249,AddLocation,101,Switching Protocols,Locations 1-24,text,true,,282,121,43,43,null,0,0,2018
1706416099247,4334,AddLocation,101,Switching Protocols,Locations 1-25,text,true,,282,121,44,44,null,0,0,1968
1706416099347,4443,AddLocation,101,Switching Protocols,Locations 1-26,text,true,,282,121,45,45,null,0,0,2223
1706416099447,4527,AddLocation,101,Switching Protocols,Locations 1-27,text,true,,282,121,46,46,null,0,0,2169
1706416099945,4081,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-32,,false,,0,0,45,45,null,0,0,0
1706416099546,4911,AddLocation,101,Switching Protocols,Locations 1-28,text,true,,282,121,49,49,null,0,0,2606
1706416099646,4992,AddLocation,101,Switching Protocols,Locations 1-29,text,true,,282,121,49,49,null,0,0,2693
1706416099747,5130,AddLocation,101,Switching Protocols,Locations 1-30,text,true,,282,121,51,51,null,0,0,3835
1706416100548,4496,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-38,,false,,0,0,51,51,null,0,0,0
1706416100645,4580,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-39,,false,,0,0,52,52,null,0,0,0
1706416100747,4489,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-40,,false,,0,0,51,51,null,0,0,0
1706416100848,4398,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-41,,false,,0,0,50,50,null,0,0,0
1706416100950,4302,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-42,,false,,0,0,50,50,null,0,0,0
1706416099846,5525,AddLocation,101,Switching Protocols,Locations 1-31,text,true,,282,121,50,50,null,0,0,4130
1706416100047,5592,AddLocation,101,Switching Protocols,Locations 1-33,text,true,,282,121,51,51,null,0,0,4173
1706416101252,4797,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-45,,false,,0,0,54,54,null,0,0,0
1706416101362,4703,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-46,,false,,0,0,54,54,null,0,0,0
1706416101449,4618,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-47,,false,,0,0,53,53,null,0,0,0
1706416101549,4518,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-48,,false,,0,0,53,53,null,0,0,0
1706416101655,4413,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-49,,false,,0,0,51,51,null,0,0,0
1706416101757,4312,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-50,,false,,0,0,50,50,null,0,0,0
1706416101851,4218,AddLocation,Websocket I/O error,WebSocket I/O error: Connection reset,Locations 1-51,,false,,0,0,49,49,null,0,0,0
