timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1706422780140,145,GetTrack,101,Switching Protocols,Locations 1-1,text,true,,14621,35,2,2,null,0,0,37
1706422780220,151,GetTrack,101,Switching Protocols,Locations 1-2,text,true,,14621,35,2,2,null,0,0,64
1706422780318,126,GetTrack,101,Switching Protocols,Locations 1-3,text,true,,14621,35,2,2,null,0,0,57
1706422780416,87,GetTrack,101,Switching Protocols,Locations 1-4,text,true,,14621,35,1,1,null,0,0,30
1706422780514,69,GetTrack,101,Switching Protocols,Locations 1-5,text,true,,14621,35,1,1,null,0,0,4
1706422780615,65,GetTrack,101,Switching Protocols,Locations 1-6,text,true,,14621,35,1,1,null,0,0,4
1706422780711,68,GetTrack,101,Switching Protocols,Locations 1-7,text,true,,14621,35,1,1,null,0,0,5
1706422780810,65,GetTrack,101,Switching Protocols,Locations 1-8,text,true,,14621,35,1,1,null,0,0,4
1706422780911,74,GetTrack,101,Switching Protocols,Locations 1-9,text,true,,14621,35,1,1,null,0,0,4
1706422781006,94,GetTrack,101,Switching Protocols,Locations 1-10,text,true,,14621,35,1,1,null,0,0,16
1706422781105,74,GetTrack,101,Switching Protocols,Locations 1-11,text,true,,14621,35,1,1,null,0,0,4
1706422781204,69,GetTrack,101,Switching Protocols,Locations 1-12,text,true,,14621,35,1,1,null,0,0,6
1706422781304,66,GetTrack,101,Switching Protocols,Locations 1-13,text,true,,14621,35,1,1,null,0,0,4
1706422781406,105,GetTrack,101,Switching Protocols,Locations 1-14,text,true,,14621,35,2,2,null,0,0,6
1706422781503,93,GetTrack,101,Switching Protocols,Locations 1-15,text,true,,14621,35,1,1,null,0,0,11
1706422781640,64,GetTrack,101,Switching Protocols,Locations 1-16,text,true,,14621,35,1,1,null,0,0,5
1706422781737,66,GetTrack,101,Switching Protocols,Locations 1-17,text,true,,14621,35,1,1,null,0,0,4
1706422781825,70,GetTrack,101,Switching Protocols,Locations 1-18,text,true,,14621,35,1,1,null,0,0,5
1706422781921,71,GetTrack,101,Switching Protocols,Locations 1-19,text,true,,14621,35,1,1,null,0,0,5
1706422782018,64,GetTrack,101,Switching Protocols,Locations 1-20,text,true,,14621,35,1,1,null,0,0,3
1706422782117,76,GetTrack,101,Switching Protocols,Locations 1-21,text,true,,14621,35,1,1,null,0,0,7
1706422782215,74,GetTrack,101,Switching Protocols,Locations 1-22,text,true,,14621,35,1,1,null,0,0,5
1706422782314,69,GetTrack,101,Switching Protocols,Locations 1-23,text,true,,14621,35,1,1,null,0,0,4
1706422782413,67,GetTrack,101,Switching Protocols,Locations 1-24,text,true,,14621,35,1,1,null,0,0,4
1706422782512,65,GetTrack,101,Switching Protocols,Locations 1-25,text,true,,14621,35,1,1,null,0,0,4
1706422782611,71,GetTrack,101,Switching Protocols,Locations 1-26,text,true,,14621,35,1,1,null,0,0,4
1706422782710,97,GetTrack,101,Switching Protocols,Locations 1-27,text,true,,14621,35,1,1,null,0,0,7
1706422782811,80,GetTrack,101,Switching Protocols,Locations 1-28,text,true,,14621,35,1,1,null,0,0,6
1706422782908,65,GetTrack,101,Switching Protocols,Locations 1-29,text,true,,14621,35,1,1,null,0,0,4
1706422783017,65,GetTrack,101,Switching Protocols,Locations 1-30,text,true,,14621,35,1,1,null,0,0,4
1706422783119,65,GetTrack,101,Switching Protocols,Locations 1-31,text,true,,14621,35,1,1,null,0,0,4
1706422783205,63,GetTrack,101,Switching Protocols,Locations 1-32,text,true,,14621,35,1,1,null,0,0,4
1706422783303,65,GetTrack,101,Switching Protocols,Locations 1-33,text,true,,14621,35,1,1,null,0,0,5
1706422783402,114,GetTrack,101,Switching Protocols,Locations 1-34,text,true,,14621,35,2,2,null,0,0,5
1706422783503,75,GetTrack,101,Switching Protocols,Locations 1-35,text,true,,14621,35,1,1,null,0,0,17
1706422783607,65,GetTrack,101,Switching Protocols,Locations 1-36,text,true,,14621,35,1,1,null,0,0,3
1706422783704,72,GetTrack,101,Switching Protocols,Locations 1-37,text,true,,14621,35,1,1,null,0,0,5
1706422783803,63,GetTrack,101,Switching Protocols,Locations 1-38,text,true,,14621,35,1,1,null,0,0,3
1706422783902,62,GetTrack,101,Switching Protocols,Locations 1-39,text,true,,14621,35,1,1,null,0,0,4
1706422784001,71,GetTrack,101,Switching Protocols,Locations 1-40,text,true,,14621,35,1,1,null,0,0,17
