timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1706426822724,392,GetResourcesNearby,101,Switching Protocols,Locations 1-1,text,true,,149,143,5,5,null,0,0,38
1706426822897,398,GetResourcesNearby,101,Switching Protocols,Locations 1-3,text,true,,149,143,6,6,null,0,0,232
1706426822799,664,GetResourcesNearby,101,Switching Protocols,Locations 1-2,text,true,,149,143,6,6,null,0,0,333
1706426822991,632,GetResourcesNearby,101,Switching Protocols,Locations 1-4,text,true,,149,143,7,7,null,0,0,141
1706426823090,694,GetResourcesNearby,101,Switching Protocols,Locations 1-5,text,true,,149,143,8,8,null,0,0,48
1706426823187,763,GetResourcesNearby,101,Switching Protocols,Locations 1-6,text,true,,149,143,8,8,null,0,0,602
1706426823284,838,GetResourcesNearby,101,Switching Protocols,Locations 1-7,text,true,,149,143,9,9,null,0,0,507
1706426823383,899,GetResourcesNearby,101,Switching Protocols,Locations 1-8,text,true,,149,143,10,10,null,0,0,409
1706426823482,958,GetResourcesNearby,101,Switching Protocols,Locations 1-9,text,true,,149,143,10,10,null,0,0,312
1706426823581,1023,GetResourcesNearby,101,Switching Protocols,Locations 1-10,text,true,,149,143,11,11,null,0,0,214
1706426823681,1081,GetResourcesNearby,101,Switching Protocols,Locations 1-11,text,true,,149,143,11,11,null,0,0,115
1706426823779,1145,GetResourcesNearby,101,Switching Protocols,Locations 1-12,text,true,,149,143,12,12,null,0,0,18
1706426823878,1235,GetResourcesNearby,101,Switching Protocols,Locations 1-13,text,true,,149,143,13,13,null,0,0,1054
1706426823979,1289,GetResourcesNearby,101,Switching Protocols,Locations 1-14,text,true,,149,143,13,13,null,0,0,954
1706426824078,1350,GetResourcesNearby,101,Switching Protocols,Locations 1-15,text,true,,149,143,14,14,null,0,0,857
1706426824180,1407,GetResourcesNearby,101,Switching Protocols,Locations 1-16,text,true,,149,143,15,15,null,0,0,756
1706426824278,1470,GetResourcesNearby,101,Switching Protocols,Locations 1-17,text,true,,149,143,15,15,null,0,0,659
1706426824379,1532,GetResourcesNearby,101,Switching Protocols,Locations 1-18,text,true,,149,143,16,16,null,0,0,560
1706426824479,1601,GetResourcesNearby,101,Switching Protocols,Locations 1-19,text,true,,149,143,16,16,null,0,0,462
1706426824585,1655,GetResourcesNearby,101,Switching Protocols,Locations 1-20,text,true,,149,143,17,17,null,0,0,358
1706426824682,1715,GetResourcesNearby,101,Switching Protocols,Locations 1-21,text,true,,149,143,18,18,null,0,0,262
1706426824781,1787,GetResourcesNearby,101,Switching Protocols,Locations 1-22,text,true,,149,143,18,18,null,0,0,165
1706426824880,1850,GetResourcesNearby,101,Switching Protocols,Locations 1-23,text,true,,149,143,19,19,null,0,0,67
1706426824981,1949,GetResourcesNearby,101,Switching Protocols,Locations 1-24,text,true,,149,143,20,20,null,0,0,1757
1706426825081,2012,GetResourcesNearby,101,Switching Protocols,Locations 1-25,text,true,,149,143,21,21,null,0,0,1659
1706426825180,2066,GetResourcesNearby,101,Switching Protocols,Locations 1-26,text,true,,149,143,21,21,null,0,0,1561
