timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1706423264893,142,AddLocation,101,Switching Protocols,Locations 1-1,text,true,,267,121,2,2,null,0,0,38
1706423264977,155,AddLocation,101,Switching Protocols,Locations 1-2,text,true,,267,121,2,2,null,0,0,66
1706423265076,159,AddLocation,101,Switching Protocols,Locations 1-3,text,true,,267,121,2,2,null,0,0,60
1706423265170,138,AddLocation,101,Switching Protocols,Locations 1-4,text,true,,267,121,2,2,null,0,0,67
1706423265265,101,AddLocation,101,Switching Protocols,Locations 1-5,text,true,,267,121,2,2,null,0,0,46
1706423265363,62,AddLocation,101,Switching Protocols,Locations 1-6,text,true,,267,121,1,1,null,0,0,8
1706423265463,66,AddLocation,101,Switching Protocols,Locations 1-7,text,true,,267,121,1,1,null,0,0,4
1706423265564,108,AddLocation,101,Switching Protocols,Locations 1-8,text,true,,267,121,2,2,null,0,0,5
1706423265662,91,AddLocation,101,Switching Protocols,Locations 1-9,text,true,,267,121,1,1,null,0,0,14
1706423265761,57,AddLocation,101,Switching Protocols,Locations 1-10,text,true,,267,121,1,1,null,0,0,4
1706423265860,65,AddLocation,101,Switching Protocols,Locations 1-11,text,true,,267,121,1,1,null,0,0,4
1706423265960,63,AddLocation,101,Switching Protocols,Locations 1-12,text,true,,267,121,1,1,null,0,0,4
1706423266061,64,AddLocation,101,Switching Protocols,Locations 1-13,text,true,,267,121,1,1,null,0,0,4
1706423266164,74,AddLocation,101,Switching Protocols,Locations 1-14,text,true,,267,121,1,1,null,0,0,6
1706423266261,100,AddLocation,101,Switching Protocols,Locations 1-15,text,true,,267,121,1,1,null,0,0,4
1706423266388,87,AddLocation,101,Switching Protocols,Locations 1-16,text,true,,267,121,1,1,null,0,0,7
1706423266487,113,AddLocation,101,Switching Protocols,Locations 1-17,text,true,,267,121,2,2,null,0,0,5
1706423266586,78,AddLocation,101,Switching Protocols,Locations 1-18,text,true,,267,121,1,1,null,0,0,18
1706423266683,67,AddLocation,101,Switching Protocols,Locations 1-19,text,true,,267,121,1,1,null,0,0,4
1706423266782,60,AddLocation,101,Switching Protocols,Locations 1-20,text,true,,267,121,1,1,null,0,0,7
1706423266882,74,AddLocation,101,Switching Protocols,Locations 1-21,text,true,,267,121,1,1,null,0,0,5
1706423266970,67,AddLocation,101,Switching Protocols,Locations 1-22,text,true,,267,121,1,1,null,0,0,6
1706423267081,76,AddLocation,101,Switching Protocols,Locations 1-23,text,true,,267,121,1,1,null,0,0,5
1706423267178,65,AddLocation,101,Switching Protocols,Locations 1-24,text,true,,267,121,1,1,null,0,0,3
1706423267278,65,AddLocation,101,Switching Protocols,Locations 1-25,text,true,,267,121,1,1,null,0,0,4
1706423267377,64,AddLocation,101,Switching Protocols,Locations 1-26,text,true,,267,121,1,1,null,0,0,5
1706423267476,65,AddLocation,101,Switching Protocols,Locations 1-27,text,true,,267,121,1,1,null,0,0,5
1706423267575,65,AddLocation,101,Switching Protocols,Locations 1-28,text,true,,267,121,1,1,null,0,0,5
1706423267665,67,AddLocation,101,Switching Protocols,Locations 1-29,text,true,,267,121,1,1,null,0,0,4
1706423267761,72,AddLocation,101,Switching Protocols,Locations 1-30,text,true,,267,121,1,1,null,0,0,5
1706423267860,69,AddLocation,101,Switching Protocols,Locations 1-31,text,true,,267,121,1,1,null,0,0,4
1706423267960,88,AddLocation,101,Switching Protocols,Locations 1-32,text,true,,267,121,1,1,null,0,0,4
1706423268061,86,AddLocation,101,Switching Protocols,Locations 1-33,text,true,,267,121,1,1,null,0,0,7
1706423268160,99,AddLocation,101,Switching Protocols,Locations 1-34,text,true,,267,121,1,1,null,0,0,7
1706423268261,81,AddLocation,101,Switching Protocols,Locations 1-35,text,true,,267,121,1,1,null,0,0,8
1706423268359,65,AddLocation,101,Switching Protocols,Locations 1-36,text,true,,267,121,1,1,null,0,0,5
