timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1706418844406,121,AddLocation,101,Switching Protocols,Locations 1-1,text,true,,266,121,2,2,null,0,0,35
1706418844477,136,AddLocation,101,Switching Protocols,Locations 1-2,text,true,,266,121,2,2,null,0,0,61
1706418844577,116,AddLocation,101,Switching Protocols,Locations 1-3,text,true,,266,121,2,2,null,0,0,39
1706418844675,97,AddLocation,101,Switching Protocols,Locations 1-4,text,true,,266,121,1,1,null,0,0,21
1706418844780,70,AddLocation,101,Switching Protocols,Locations 1-5,text,true,,266,121,1,1,null,0,0,4
1706418844879,69,AddLocation,101,Switching Protocols,Locations 1-6,text,true,,266,121,1,1,null,0,0,4
1706418844974,78,AddLocation,101,Switching Protocols,Locations 1-7,text,true,,266,121,1,1,null,0,0,4
1706418845075,70,AddLocation,101,Switching Protocols,Locations 1-8,text,true,,266,121,1,1,null,0,0,4
1706418845175,70,AddLocation,101,Switching Protocols,Locations 1-9,text,true,,266,121,1,1,null,0,0,5
1706418845273,69,AddLocation,101,Switching Protocols,Locations 1-10,text,true,,266,121,1,1,null,0,0,6
1706418845373,83,AddLocation,101,Switching Protocols,Locations 1-11,text,true,,266,121,1,1,null,0,0,8
1706418845473,71,AddLocation,101,Switching Protocols,Locations 1-12,text,true,,266,121,1,1,null,0,0,7
1706418845573,70,AddLocation,101,Switching Protocols,Locations 1-13,text,true,,266,121,1,1,null,0,0,4
1706418845671,73,AddLocation,101,Switching Protocols,Locations 1-14,text,true,,266,121,1,1,null,0,0,7
1706418845771,67,AddLocation,101,Switching Protocols,Locations 1-15,text,true,,266,121,1,1,null,0,0,6
1706418845869,84,AddLocation,101,Switching Protocols,Locations 1-16,text,true,,266,121,1,1,null,0,0,4
1706418845964,83,AddLocation,101,Switching Protocols,Locations 1-17,text,true,,266,121,1,1,null,0,0,4
1706418846069,84,AddLocation,101,Switching Protocols,Locations 1-18,text,true,,266,121,1,1,null,0,0,3
1706418846169,74,AddLocation,101,Switching Protocols,Locations 1-19,text,true,,266,121,1,1,null,0,0,9
1706418846268,70,AddLocation,101,Switching Protocols,Locations 1-20,text,true,,266,121,1,1,null,0,0,4
1706418846368,71,AddLocation,101,Switching Protocols,Locations 1-21,text,true,,266,121,1,1,null,0,0,5
1706418846463,70,AddLocation,101,Switching Protocols,Locations 1-22,text,true,,266,121,1,1,null,0,0,4
1706418846562,101,AddLocation,101,Switching Protocols,Locations 1-23,text,true,,266,121,1,1,null,0,0,5
1706418846665,72,AddLocation,101,Switching Protocols,Locations 1-24,text,true,,266,121,1,1,null,0,0,5
1706418846766,71,AddLocation,101,Switching Protocols,Locations 1-25,text,true,,266,121,1,1,null,0,0,4
1706418846865,69,AddLocation,101,Switching Protocols,Locations 1-26,text,true,,266,121,1,1,null,0,0,3
1706418846964,82,AddLocation,101,Switching Protocols,Locations 1-27,text,true,,266,121,1,1,null,0,0,4
