timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1705961648096,217,GetTrack,101,Switching Protocols,Locations 1-1,text,true,,148788,35,3,3,null,0,0,37
1705961648167,326,GetTrack,101,Switching Protocols,Locations 1-2,text,true,,148788,35,4,4,null,0,0,149
1705961648271,375,GetTrack,101,Switching Protocols,Locations 1-3,text,true,,148788,35,4,4,null,0,0,77
1705961648362,536,GetTrack,101,Switching Protocols,Locations 1-4,text,true,,148788,35,6,6,null,0,0,288
1705961648468,549,GetTrack,101,Switching Protocols,Locations 1-5,text,true,,148788,35,6,6,null,0,0,218
1705961648567,616,GetTrack,101,Switching Protocols,Locations 1-6,text,true,,148788,35,7,7,null,0,0,162
1705961648663,844,GetTrack,101,Switching Protocols,Locations 1-7,text,true,,148788,35,9,9,null,0,0,524
1705961648761,855,GetTrack,101,Switching Protocols,Locations 1-8,text,true,,148788,35,9,9,null,0,0,462
1705961648859,877,GetTrack,101,Switching Protocols,Locations 1-9,text,true,,148788,35,9,9,null,0,0,405
1705961648958,916,GetTrack,101,Switching Protocols,Locations 1-10,text,true,,148788,35,10,10,null,0,0,336
1705961649058,932,GetTrack,101,Switching Protocols,Locations 1-11,text,true,,148788,35,10,10,null,0,0,271
1705961649161,950,GetTrack,101,Switching Protocols,Locations 1-12,text,true,,148788,35,10,10,null,0,0,200
1705961649261,1274,GetTrack,101,Switching Protocols,Locations 1-13,text,true,,148788,35,13,13,null,0,0,855
1705961649364,1351,GetTrack,101,Switching Protocols,Locations 1-14,text,true,,148788,35,14,14,null,0,0,787
1705961649460,1367,GetTrack,101,Switching Protocols,Locations 1-15,text,true,,148788,35,14,14,null,0,0,727
1705961649570,1383,GetTrack,101,Switching Protocols,Locations 1-16,text,true,,148788,35,14,14,null,0,0,649
1705961649664,1412,GetTrack,101,Switching Protocols,Locations 1-17,text,true,,148788,35,15,15,null,0,0,585
1705961649766,1422,GetTrack,101,Switching Protocols,Locations 1-18,text,true,,148788,35,15,15,null,0,0,517
1705961649865,1477,GetTrack,101,Switching Protocols,Locations 1-19,text,true,,148788,35,15,15,null,0,0,449
1705961649964,1485,GetTrack,101,Switching Protocols,Locations 1-20,text,true,,148788,35,15,15,null,0,0,385
1705961650060,1551,GetTrack,101,Switching Protocols,Locations 1-21,text,true,,148788,35,16,16,null,0,0,323
1705961650159,1715,GetTrack,101,Switching Protocols,Locations 1-22,text,true,,148788,35,18,18,null,0,0,1456
1705961650259,2112,GetTrack,101,Switching Protocols,Locations 1-23,text,true,,148788,35,22,22,null,0,0,1395
1705961650358,2130,GetTrack,101,Switching Protocols,Locations 1-24,text,true,,148788,35,22,22,null,0,0,1334
1705961650458,2144,GetTrack,101,Switching Protocols,Locations 1-25,text,true,,148788,35,22,22,null,0,0,1268
1705961650559,2159,GetTrack,101,Switching Protocols,Locations 1-26,text,true,,148788,35,22,22,null,0,0,1316
1705961650659,2170,GetTrack,101,Switching Protocols,Locations 1-27,text,true,,148788,35,22,22,null,0,0,1249
1705961650758,2182,GetTrack,101,Switching Protocols,Locations 1-28,text,true,,148788,35,22,22,null,0,0,1183
1705961650858,2266,GetTrack,101,Switching Protocols,Locations 1-29,text,true,,148788,35,23,23,null,0,0,1121
1705961650958,2296,GetTrack,101,Switching Protocols,Locations 1-30,text,true,,148788,35,23,23,null,0,0,1058
