timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1706418858561,127,AddLocation,101,Switching Protocols,Locations 1-1,text,true,,266,121,2,2,null,0,0,39
1706418858644,122,AddLocation,101,Switching Protocols,Locations 1-2,text,true,,266,121,2,2,null,0,0,50
1706418858737,92,AddLocation,101,Switching Protocols,Locations 1-3,text,true,,266,121,1,1,null,0,0,32
1706418858834,122,AddLocation,101,Switching Protocols,Locations 1-4,text,true,,266,121,2,2,null,0,0,58
1706418858934,86,AddLocation,101,Switching Protocols,Locations 1-5,text,true,,266,121,1,1,null,0,0,24
1706418859031,69,AddLocation,101,Switching Protocols,Locations 1-6,text,true,,266,121,1,1,null,0,0,5
1706418859131,66,AddLocation,101,Switching Protocols,Locations 1-7,text,true,,266,121,1,1,null,0,0,4
1706418859231,66,AddLocation,101,Switching Protocols,Locations 1-8,text,true,,266,121,1,1,null,0,0,3
1706418859330,68,AddLocation,101,Switching Protocols,Locations 1-9,text,true,,266,121,1,1,null,0,0,4
1706418859428,66,AddLocation,101,Switching Protocols,Locations 1-10,text,true,,266,121,1,1,null,0,0,5
1706418859526,69,AddLocation,101,Switching Protocols,Locations 1-11,text,true,,266,121,1,1,null,0,0,4
1706418859625,100,AddLocation,101,Switching Protocols,Locations 1-12,text,true,,266,121,2,2,null,0,0,4
1706418859725,72,AddLocation,101,Switching Protocols,Locations 1-13,text,true,,266,121,1,1,null,0,0,8
1706418859824,66,AddLocation,101,Switching Protocols,Locations 1-14,text,true,,266,121,1,1,null,0,0,4
1706418859922,104,AddLocation,101,Switching Protocols,Locations 1-15,text,true,,266,121,2,2,null,0,0,6
1706418860017,101,AddLocation,101,Switching Protocols,Locations 1-16,text,true,,266,121,2,2,null,0,0,13
1706418860118,64,AddLocation,101,Switching Protocols,Locations 1-17,text,true,,266,121,1,1,null,0,0,5
1706418860219,66,AddLocation,101,Switching Protocols,Locations 1-18,text,true,,266,121,1,1,null,0,0,4
1706418860317,83,AddLocation,101,Switching Protocols,Locations 1-19,text,true,,266,121,1,1,null,0,0,5
1706418860414,65,AddLocation,101,Switching Protocols,Locations 1-20,text,true,,266,121,1,1,null,0,0,4
1706418860514,58,AddLocation,101,Switching Protocols,Locations 1-21,text,true,,266,121,1,1,null,0,0,4
1706418860614,59,AddLocation,101,Switching Protocols,Locations 1-22,text,true,,266,121,1,1,null,0,0,4
1706418860714,68,AddLocation,101,Switching Protocols,Locations 1-23,text,true,,266,121,1,1,null,0,0,4
1706418860814,67,AddLocation,101,Switching Protocols,Locations 1-24,text,true,,266,121,1,1,null,0,0,4
1706418860923,99,AddLocation,101,Switching Protocols,Locations 1-25,text,true,,266,121,2,2,null,0,0,4
1706418861021,74,AddLocation,101,Switching Protocols,Locations 1-26,text,true,,266,121,1,1,null,0,0,8
1706418861118,64,AddLocation,101,Switching Protocols,Locations 1-27,text,true,,266,121,1,1,null,0,0,4
1706418861215,73,AddLocation,101,Switching Protocols,Locations 1-28,text,true,,266,121,1,1,null,0,0,7
1706418861314,65,AddLocation,101,Switching Protocols,Locations 1-29,text,true,,266,121,1,1,null,0,0,4
1706418861414,65,AddLocation,101,Switching Protocols,Locations 1-30,text,true,,266,121,1,1,null,0,0,4
1706418861515,84,AddLocation,101,Switching Protocols,Locations 1-31,text,true,,266,121,1,1,null,0,0,7
1706418861614,68,AddLocation,101,Switching Protocols,Locations 1-32,text,true,,266,121,1,1,null,0,0,4
1706418861719,66,AddLocation,101,Switching Protocols,Locations 1-33,text,true,,266,121,1,1,null,0,0,5
1706418861817,72,AddLocation,101,Switching Protocols,Locations 1-34,text,true,,266,121,1,1,null,0,0,9
1706418861914,69,AddLocation,101,Switching Protocols,Locations 1-35,text,true,,266,121,1,1,null,0,0,4
1706418862014,68,AddLocation,101,Switching Protocols,Locations 1-36,text,true,,266,121,1,1,null,0,0,5
1706418862118,63,AddLocation,101,Switching Protocols,Locations 1-37,text,true,,266,121,1,1,null,0,0,4
1706418862215,88,AddLocation,101,Switching Protocols,Locations 1-38,text,true,,266,121,1,1,null,0,0,4
1706418862316,88,AddLocation,101,Switching Protocols,Locations 1-39,text,true,,266,121,1,1,null,0,0,5
1706418862415,79,AddLocation,101,Switching Protocols,Locations 1-40,text,true,,266,121,1,1,null,0,0,4
1706418862515,87,AddLocation,101,Switching Protocols,Locations 1-41,text,true,,266,121,1,1,null,0,0,6
1706418862621,67,AddLocation,101,Switching Protocols,Locations 1-42,text,true,,266,121,1,1,null,0,0,4
1706418862720,77,AddLocation,101,Switching Protocols,Locations 1-43,text,true,,266,121,1,1,null,0,0,5
